Country2Code,CountryCode,Year,SP_Rating,SP_NumericRating,Moodys_Rating,Moodys_NumericRating,Fitch_Rating,Fitch_NumericRating,Diff_UP_SM,Diff_DW_SM,Diff_UP_MF,Diff_DW_MF,Diff_UP_SF,Diff_DW_SF,GGSB,GGSB_NPGDP,GGXWDG_NGDP,GGXWDN_NGDP,NGDP,NGDP_R,NGDP_RPCH,NGDPD,NGDPDPC,PCPI,PCPIE,PCPIEPCH,PCPIPCH,ExtDebtStocksTotalUSD,GNI_USD,ExtDebtPercGNI
DO,DOM,2001,BB-,9,Ba2,10,,,,1,,,,,-6.529,-1.456,15.581,15.581,443.786,1038.432,1.791,26.588,3123.269,33.756,34.158,4.384,8.884,5250721000,23801017166,22.06
DO,DOM,2002,BB-,9,Ba2,10,,,,1,,,,,-9.236,-1.901,16.536,16.536,494.852,1098.411,5.776,28.243,3273.643,35.519,37.749,10.512,5.223,6635155000,25419804592,26.1
DO,DOM,2003,CCC,4,B2,7,B,7,,3,0,0,,3,-30.703,-4.657,34.108,34.108,657.812,1095.647,-0.252,22.517,2574.855,45.269,53.851,42.655,27.45,7276844000,19883482046,36.6
DO,DOM,2004,CC,2,B3,6,CCC+,5,,4,1,,,3,-26.846,-2.696,22.5,22.5,971.734,1109.932,1.304,23.366,2637.896,68.565,69.328,28.74,51.461,7818993000,20224859629,38.66
DO,DOM,2005,B,7,B3,6,B-,6,1,,0,0,1,,-4.827,-0.44,21.29,21.29,1088.056,1212.291,9.222,36.101,4025.415,71.438,74.484,7.437,4.19,7751823000,32099953278,24.15
DO,DOM,2006,B,7,B3,6,B,7,1,,,1,0,0,-14.567,-1.153,19.424,19.424,1269.898,1341.49,10.657,38.254,4216.934,76.848,78.208,5,7.573,9219829000,34100521239,27.04
DO,DOM,2007,B+,8,B2,7,B,7,1,,0,0,1,,-1.895,-0.132,17.519,17.519,1455.253,1455.253,8.48,43.972,4793.054,81.57,85.151,8.878,6.144,10747918000,41890904335,25.66
DO,DOM,2008,B,7,B2,7,B,7,0,0,0,0,0,0,-64.38,-3.9,19.603,19.603,1656.962,1501.002,3.144,48.07,5180.165,90.252,88.997,4.517,10.644,10609349000,46404760713,22.86
DO,DOM,2009,B,7,B2,7,B,7,0,0,0,0,0,0,-42.557,-2.407,22.729,22.729,1729.468,1515.048,0.936,48.136,5131.67,91.554,94.128,5.765,1.442,11853859000,46461718255,25.51
DO,DOM,2010,B,7,B1,8,B,7,,1,1,,0,0,-61.921,-3.174,23.753,23.753,1978.852,1640.83,8.302,53.803,5676.274,97.349,100,6.238,6.33,13498619000,52558629080,25.68
