Country2Code;Year;Diff_DW_SF;NGDPDPC;NGDP_RPCH;ExtDebtPercGNI;GGXWDG_NGDP;GGXWDN_NGDP;GGSB_NPGDP;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years;PCPIPCH
DO;2003;3;2574.855;-0.252;36.6;34.108;34.108;-4.657;1;1;1;1;27.45
DO;2004;3;2637.896;1.304;38.66;22.5;22.5;-2.696;1;1;1;1;51.461
DO;2006;0;4216.934;10.657;27.04;19.424;19.424;-1.153;1;1;1;1;7.573
DO;2008;0;5180.165;3.144;22.86;19.603;19.603;-3.9;1;1;1;1;10.644
DO;2009;0;5131.67;0.936;25.51;22.729;22.729;-2.407;1;1;1;1;1.442
DO;2010;0;5676.274;8.302;25.68;23.753;23.753;-3.174;1;1;1;1;6.33
DO;2014;0;6481.308;7.341;44;34.383;34.383;-3.101;1;1;1;1;2.999
MA;2007;1;2562.862;3.532;26.26;50.528;51.988;-1.191;1;1;1;1;2.036
MA;2008;1;2967.154;5.923;22.7;44.734;45.443;-0.38;1;1;1;1;3.891
MA;2009;1;2947.811;4.244;27.57;45.452;46.126;-1.887;1;1;1;1;0.972
MA;2010;0;2926.665;3.816;29.4;48.493;48.998;-4.322;0;1;1;1;0.994
MA;2011;0;3149.433;5.246;29.69;52.137;52.547;-6.793;0;0;1;1;0.907
MA;2012;0;3021.518;3.01;35.31;57.775;58.3;-7.389;1;1;1;1;1.287
MA;2013;0;3264.092;4.725;37.67;60.982;61.491;-5.219;0;1;1;1;1.881
MA;2014;0;3315.608;2.417;40.91;62.873;63.374;-6.207;0;0;1;1;0.443
MA;2015;0;3078.593;4.466;0;63.165;63.667;-4.943;0;0;1;1;1.6
AO;2015;0;4100.315;2.998;0;0;62.325;0;1;1;1;1;10.275
AE;2007;0;41472.293;3.184;0;-215.129;7.853;0;0;0;0;0;11.128
AE;2008;0;39074.838;3.192;0;-203.041;12.531;0;0;0;0;0;12.251
AE;2009;0;30920.447;-5.243;0;-247.101;24.084;0;0;0;0;0;1.56
AE;2010;0;34611.957;1.635;0;-227.97;22.236;0;0;0;0;0;0.878
AE;2011;0;40817.403;4.885;0;-201.553;17.606;0;0;0;0;0;0.875
AE;2012;0;42591.173;7.222;0;-208.991;17.035;0;0;0;0;0;0.665
AE;2013;0;42874.595;4.321;0;-216.112;15.874;0;0;0;0;0;1.102
AE;2014;0;42943.777;4.57;0;-223.255;15.682;0;0;0;0;0;2.345
AE;2015;0;36060.015;3.93;0;-258.81;19.419;0;0;0;0;0;4.068
