Country2Code;Year;SP_NumericRating;Fitch_NumericRating;AvgRatingSF;Diff_DW_SF;OLD_Diff_DW_SF_OLD;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
MA;2010;12;12;12;0;0;-4.26;-141.27;-4.32;-129.041;49;6.226;48.49;6.691;3.82;2926.67;-0.717;0.99;29.64;10.112;0;1;1;1
MA;2011;12;12;12;0;0;-6.58;-54.488;-6.79;-57.173;52.55;7.243;52.14;7.514;5.25;3149.43;7.612;0.91;30.01;1.228;0;0;1;1
MA;2012;12;12;12;0;0;-7.25;-10.297;-7.39;-8.774;58.3;10.948;57.78;10.814;3.01;3021.52;-4.062;1.29;35.12;17.05;1;1;1;1
MA;2013;12;12;12;0;0;-5.16;28.861;-5.22;29.368;61.49;5.473;60.98;5.551;4.73;3264.09;8.028;1.88;37.1;5.632;0;1;1;1
MA;2014;12;12;12;0;0;-4.94;4.187;-6.21;-18.931;63.37;3.062;62.87;3.101;2.42;3315.61;1.578;0.44;39.78;7.224;0;0;1;1
MA;2015;12;12;12;0;0;-4.3;13.069;-4.94;20.364;63.67;0.462;63.17;0.464;4.47;3078.59;-7.148;1.6;44.62;12.172;0;0;1;1
AE;2007;19;19;19;0;0;21.8;0;;0;7.85;0;-215.13;0;3.18;41472.29;0;11.13;0;0;0;0;0;0
AE;2008;19;19;19;0;0;20.08;-7.89;;0;12.53;59.57;-203.04;5.619;3.19;39074.84;-5.781;12.25;0;0;0;0;0;0
AE;2009;19;19;19;0;0;-4.28;-121.3;;0;24.08;92.195;-247.1;-21.7;-5.24;30920.45;-20.869;1.56;0;0;0;0;0;0
AE;2010;19;19;19;0;0;2.01;146.996;;0;22.24;-7.673;-227.97;7.742;1.64;34611.96;11.939;0.88;0;0;0;0;0;0
AE;2011;19;19;19;0;0;6.34;215.423;;0;17.61;-20.822;-201.55;11.588;4.89;40817.4;17.929;0.88;0;0;0;0;0;0
AE;2012;19;19;19;0;0;10.88;71.53;;0;17.04;-3.243;-208.99;-3.69;7.22;42591.17;4.346;0.67;0;0;0;0;0;0
AE;2013;19;19;19;0;0;10.43;-4.074;;0;15.87;-6.815;-216.11;-3.407;4.32;42874.6;0.665;1.1;0;0;0;0;0;0
AE;2014;19;19;19;0;0;4.98;-52.234;;0;15.68;-1.21;-223.26;-3.305;4.57;42943.78;0.161;2.35;0;0;0;0;0;0
AE;2015;19;19;19;0;0;-4.88;-197.913;;0;19.42;23.83;-258.81;-15.926;3.93;36060.02;-16.03;4.07;0;0;0;0;0;0
AU;1996;19;19;19;0;0;-0.89;56.348;-0.81;59.137;29.31;-5.837;21.3;-7.665;4.28;23181.66;10.755;2.65;0;0;0;0;0;0
AU;1997;19;19;19;0;0;0.06;107.103;0.12;115.111;25.93;-11.561;18.19;-14.588;4.31;22962.71;-0.944;0.23;0;0;0;0;0;0
AU;1998;19;19;19;0;0;0.34;442.857;0.19;50.407;23.76;-8.366;14.66;-19.394;4.65;20307.16;-11.565;0.86;0;0;0;0;0;0
AU;2011;21;21;21;0;0;-4.47;12.444;-4.21;13.956;24.2;18.164;8.06;105.297;2.68;66721.6;18.733;3.33;96.83;-9.429;0;0;0;0
AU;2012;21;21;21;0;0;-3.47;22.247;-3.19;24.294;27.8;14.864;11.21;39.01;3.55;68002.65;1.92;1.71;93.85;-3.078;0;0;0;0
AU;2013;21;21;21;0;0;-2.8;19.372;-2.42;24.122;30.82;10.886;13.2;17.801;2.04;64464.06;-5.204;2.48;90.13;-3.961;0;0;0;0
AU;2014;21;21;21;0;0;-2.89;-3.142;-2.38;1.778;34.14;10.761;15.72;19.088;2.62;61062.61;-5.277;2.46;99.29;10.162;0;0;0;0
AU;2015;21;21;21;0;0;-2.77;4.05;-2.16;9.217;36.83;7.871;17.9;13.866;2.48;50961.87;-16.542;1.53;107.33;8.102;0;0;0;0
AT;1994;21;21;21;0;0;-5.03;-10.263;-4.6;-25.061;63.86;5.098;0;0;2.4;25668.06;6.512;2.71;0;0;0;0;0;0
AT;1995;21;21;21;0;0;-6.15;-22.275;-6.65;-44.778;68.02;6.505;0;0;2.67;30307.42;18.074;1.6;0;0;0;0;0;0
AT;1996;21;21;21;0;0;-4.36;29.115;-4.66;30.042;67.96;-0.085;0;0;2.4;29778.14;-1.746;1.79;0;0;0;0;0;0
