CompanyName;Date;RatingType;Agency;CurrRtg;LastRtg;Ctry;IndustryType;SecurityName
Mozambique Government Bond;2007-12-21;Foreign Currency LT Debt;S&P;B+;B;MZ;Sovereigns;EI896973 Corp
Mozambique Government Bond;2007-12-21;Local Currency LT Debt;S&P;B+;B;MZ;Sovereigns;EI896973 Corp
Mozambique International Bond;2007-12-21;Foreign Currency LT Debt;S&P;B+;B;MZ;Sovereigns;JK436357 Corp
Mozambique International Bond;2007-12-21;Local Currency LT Debt;S&P;B+;B;MZ;Sovereigns;JK436357 Corp
Mozambique Treasury Bills;2007-12-21;Foreign Currency LT Debt;S&P;B+;B;MZ;Sovereigns;AF168328 Corp
Mozambique Treasury Bills;2007-12-21;Local Currency LT Debt;S&P;B+;B;MZ;Sovereigns;AF168328 Corp
Republic of Mozambique;2007-12-21;Local Currency LT Debt;S&P;B+;B;MZ;Sovereigns;1001Z MZ Equity
Republic of Mozambique;2007-12-21;Foreign Currency LT Debt;S&P;B+;B;MZ;Sovereigns;1001Z MZ Equity
Chile Government International Bond;2007-12-18;Foreign Currency LT Debt;S&P;A+;A;CL;Sovereigns;1250654DCI Equity
Republic of Chile;2007-12-18;Foreign Currency LT Debt;S&P;A+;A;CL;Sovereigns;45793Z CI Equity
Mongolia Government Treasury Bills;2007-12-14;Local Currency LT Debt;S&P;BB-;B+;MN;Sovereigns;EG942130 Corp
Mongolia Government Treasury Bills;2007-12-14;Foreign Currency LT Debt;S&P;BB-;B+;MN;Sovereigns;EG942130 Corp
Mongolia;2007-12-13;Foreign Currency LT Debt;S&P;BB-;B+;MN;Sovereigns;17211Z MO Equity
Mongolia;2007-12-13;Local Currency LT Debt;S&P;BB-;B+;MN;Sovereigns;17211Z MO Equity
Mongolia Government Bond;2007-12-13;Local Currency LT Debt;S&P;BB-;B+;MN;Sovereigns;EI808586 Corp
Mongolia Government Bond;2007-12-13;Foreign Currency LT Debt;S&P;BB-;B+;MN;Sovereigns;EI808586 Corp
Mongolia Government International Bond;2007-12-13;LT Local Issuer Credit;S&P;BB-;B+;MN;Sovereigns;EJ425353 Corp
Mongolia Government International Bond;2007-12-13;LT Foreign Issuer Credit;S&P;BB-;B+;MN;Sovereigns;EJ425353 Corp
Government of the Cook Islands;2007-12-07;Foreign Currency LT Debt;S&P;BB;BB-;CK;Sovereigns;9347Z US Equity
Government of the Cook Islands;2007-12-07;Local Currency LT Debt;S&P;BB;BB-;CK;Sovereigns;9347Z US Equity
Israel Government Bond - CPI Linked;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;AF130302 Corp
Israel Government Bond - CPI Linked;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;AF130302 Corp
Israel Government Bond - Fixed;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;1250691DIT Equity
Israel Government Bond - Fixed;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;1250691DIT Equity
Israel Government Bond - FRN;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;EG790078 Corp
Israel Government Bond - FRN;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;EG790078 Corp
Israel Government Bond - Galil;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;EC877230 Corp
Israel Government Bond - Galil;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;EC877230 Corp
Israel Government Bond - Gilboa;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;EC069380 Corp
Israel Government Bond - Gilboa;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;EC069380 Corp
Israel Government Bond - Gilon;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;EC085869 Corp
Israel Government Bond - Gilon;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;EC085869 Corp
Israel Government Bond - Israel Bonds Organization;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;EC757489 Corp
Israel Government Bond - Israel Bonds Organization;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;EC757489 Corp
Israel Government Bond - KFIR;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;EC097098 Corp
Israel Government Bond - KFIR;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;EC097098 Corp
Israel Government Bond - Sagi;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;CP510393 Corp
Israel Government Bond - Sagi;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;CP510393 Corp
Israel Government Bond - Shahar;2007-11-27;Local Currency LT Debt;S&P;AA-;A+;IL;Sovereigns;1250577DIT Equity
Israel Government Bond - Shahar;2007-11-27;Foreign Currency LT Debt;S&P;A;A-;IL;Sovereigns;1250577DIT Equity
