Country2Code;Year;Diff_MF;NGDPDPC;NGDP_RPCH;ExtDebtPercGNI;GGXWDG_NGDP;GGXWDN_NGDP;GGSB_NPGDP;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years;PCPIPCH
DO;2003;0;2574.855;-0.252;36.6;34.108;34.108;-4.657;1;1;1;1;27.45
DO;2004;1;2637.896;1.304;38.66;22.5;22.5;-2.696;1;1;1;1;51.461
DO;2005;0;4025.415;9.222;24.15;21.29;21.29;-0.44;1;1;1;1;4.19
DO;2007;0;4793.054;8.48;25.66;17.519;17.519;-0.132;1;1;1;1;6.144
DO;2008;0;5180.165;3.144;22.86;19.603;19.603;-3.9;1;1;1;1;10.644
DO;2009;0;5131.67;0.936;25.51;22.729;22.729;-2.407;1;1;1;1;1.442
DO;2010;1;5676.274;8.302;25.68;23.753;23.753;-3.174;1;1;1;1;6.33
DO;2011;1;6085.886;2.821;26.88;25.75;25.75;-2.575;1;1;1;1;8.459
DO;2012;1;6252.478;2.63;37.95;30.464;30.464;-6.795;1;1;1;1;3.695
DO;2013;1;6264.138;4.778;42.14;34.604;34.604;-2.934;1;1;1;1;4.831
DO;2014;0;6481.308;7.341;44;34.383;34.383;-3.101;1;1;1;1;2.999
DO;2015;0;6755.736;7;0;34.289;34.289;-2.707;1;1;1;1;0.837
AO;2015;2;4100.315;2.998;0;0;62.325;0;1;1;1;1;10.275
AE;2007;0;41472.293;3.184;0;-215.129;7.853;0;0;0;0;0;11.128
AE;2008;0;39074.838;3.192;0;-203.041;12.531;0;0;0;0;0;12.251
AE;2009;0;30920.447;-5.243;0;-247.101;24.084;0;0;0;0;0;1.56
AE;2010;0;34611.957;1.635;0;-227.97;22.236;0;0;0;0;0;0.878
AE;2011;0;40817.403;4.885;0;-201.553;17.606;0;0;0;0;0;0.875
AE;2012;0;42591.173;7.222;0;-208.991;17.035;0;0;0;0;0;0.665
AE;2013;0;42874.595;4.321;0;-216.112;15.874;0;0;0;0;0;1.102
AE;2014;0;42943.777;4.57;0;-223.255;15.682;0;0;0;0;0;2.345
AE;2015;0;36060.015;3.93;0;-258.81;19.419;0;0;0;0;0;4.068
AR;2001;2;8672.457;-4.409;0;0;44.757;-3.145;0;0;0;1;-1.065
AR;2002;2;3201.272;-10.895;0;0;137.715;0.208;1;1;1;1;25.869
AR;2003;5;4029.423;8.837;0;0;116.394;1.912;1;1;1;1;13.443
AR;2004;5;4765.416;9.03;0;0;106.032;3.527;1;1;1;1;4.416
AR;2005;6;5737.208;9.226;0;0;60.245;1.826;1;1;1;1;9.642
AR;2008;0;10214.983;3.075;0;0;39.267;0.264;1;1;1;1;8.585
AR;2009;0;9430.852;0.05;0;0;47.59;-0.599;1;1;1;1;6.27
AR;2012;4;14561.987;0.802;0;0;37.614;-3.037;1;1;1;1;10.043
AR;2013;0;14739.619;2.885;0;0;41.477;-3.652;1;1;1;1;10.619
AM;2013;1;3732.035;3.3;74.56;0;37.959;0;0;0;0;1;5.788
AM;2014;1;3900.704;3.533;69.97;0;41.323;0;0;0;0;0;2.981
AM;2015;1;3534.86;3.005;0;0;46.604;0;0;0;0;0;3.731
AU;1996;0;23181.657;4.28;0;21.298;29.314;-0.814;0;0;0;0;2.653
AU;1997;0;22962.708;4.307;0;18.191;25.925;0.123;0;0;0;0;0.225
AU;1998;0;20307.155;4.647;0;14.663;23.756;0.185;0;0;0;0;0.859
AU;1999;0;21739.389;4.306;0;11.042;22.576;0.943;0;0;0;0;1.408
AU;2000;0;20744.395;3.185;0;7.149;19.57;1.33;0;0;0;0;4.457
AU;2001;0;19405.479;2.488;0;4.704;17.18;0.133;0;0;0;0;4.407
AU;2002;2;21606.147;4.035;0;2.767;15.063;0.301;0;0;0;0;3.049
AU;2003;1;27087.866;2.969;0;0.755;13.22;1.028;0;0;0;0;2.763
AU;2004;1;32710.866;4.062;0;-1.23;11.943;1.259;0;0;0;0;2.309
AU;2005;1;36135.28;3.189;0;-3.814;10.892;1.677;0;0;0;0;2.659
AU;2006;1;37853.462;2.694;0;-6.323;9.966;1.711;0;0;0;0;3.554
AU;2007;1;45030.998;4.488;0;-7.271;9.682;1.231;0;0;0;0;2.356
AU;2008;1;48242.935;2.627;0;-5.294;11.743;-1.383;0;0;0;0;4.348
AU;2009;1;44928.143;1.762;0;-0.597;16.745;-4.479;0;0;0;0;1.77
AU;2010;1;56194.752;2.297;0;3.927;20.48;-4.894;0;0;0;0;2.863
AU;2011;0;66721.599;2.678;0;8.062;24.2;-4.211;0;0;0;0;3.33
AU;2012;0;68002.653;3.545;0;11.207;27.797;-3.188;0;0;0;0;1.712
AU;2013;0;64464.056;2.035;0;13.202;30.823;-2.419;0;0;0;0;2.475
AU;2014;0;61062.605;2.616;0;15.722;34.14;-2.376;0;0;0;0;2.464
AU;2015;0;50961.865;2.479;0;17.902;36.827;-2.157;0;0;0;0;1.532
AT;1994;0;25668.057;2.402;0;0;63.863;-4.596;0;0;0;0;2.71
AT;1995;0;30307.415;2.668;0;0;68.017;-6.654;0;0;0;0;1.601
AT;1996;0;29778.136;2.398;0;0;67.959;-4.655;0;0;0;0;1.793
AT;1997;0;26693.033;2.205;0;0;63.194;-2.485;0;0;0;0;1.157
AT;1998;0;27348.041;3.56;0;0;63.606;-2.879;0;0;0;0;0.824
AT;1999;0;27185.686;3.59;0;0;66.426;-2.765;0;0;0;0;0.515
AT;2000;0;24617.957;3.368;0;0;65.864;-3.476;0;0;0;0;1.959
AT;2001;0;24576.15;1.351;0;0;66.484;-1.201;0;0;0;0;2.295
AT;2002;0;26504.851;1.656;0;0;66.291;-1.061;0;0;0;0;1.7
AT;2003;0;32248.219;0.756;0;0;65.492;-0.648;0;0;0;0;1.296
AT;2004;0;36875.712;2.706;0;0;64.802;-1.426;0;0;0;0;1.95
AT;2005;0;38430.936;2.141;0;0;68.315;-1.912;0;0;0;0;2.108
AT;2006;0;40536.772;3.351;0;0;67.044;-2.981;0;0;0;0;1.69
AT;2007;0;46721.565;3.621;0;0;64.808;-3.508;0;0;0;0;2.203
AT;2008;0;51713.796;1.547;0;0;68.518;-3.212;0;0;0;0;3.223
AT;2009;0;47822.731;-3.799;0;0;79.726;-2.685;0;0;0;0;0.401
