
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf"

="diff_dw_mf",="",="",="",=""
="ngdpdpc_var",="-0.00317",="-0.00244",="-0.00348",="-0.00424"
="",="(-0.49)",="(-0.37)",="(-0.51)",="(-0.62)"

="ngdp_rpch",="0.0132",="0.00819",="0.00442",="0.0113"
="",="(0.59)",="(0.36)",="(0.19)",="(0.49)"

="extdebtpercgni_var",="-0.00316",="-0.00305",="-0.00381",="-0.00405"
="",="(-0.94)",="(-0.89)",="(-1.06)",="(-1.22)"

="budgetbal_ngdp_var",="0.0000117",="0.00000685",="0.0000110",="0.00000980"
="",="(0.78)",="(0.46)",="(0.74)",="(0.66)"

="pcpipch",="-0.00208",="-0.00186",="-0.00157",="-0.00130"
="",="(-0.38)",="(-0.35)",="(-0.37)",="(-0.57)"

="defaultlastyear",="0.386",="",="",=""
="",="(1.56)",="",="",=""

="defaultlast2years",="",="0.552**",="",=""
="",="",="(2.28)",="",=""

="defaultlast5years",="",="",="0.676***",=""
="",="",="",="(3.19)",=""

="defaultlast10years",="",="",="",="0.428"
="",="",="",="",="(1.52)"

="_cons",="-0.955***",="-1.009***",="-1.087***",="-1.042***"
="",="(-4.57)",="(-4.81)",="(-5.21)",="(-4.52)"

="lnsig2u",="",="",="",=""
="_cons",="0.0895",="0.00286",="-0.104",="0.00359"
="",="(0.26)",="(0.01)",="(-0.31)",="(0.01)"

="N",="851",="851",="851",="851"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
