
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf"

="diff_dw_mf";="";="";="";=""
="ngdpdpc_var";="-0.00621";="-0.00534";="-0.00619";="-0.00705"
="";="(-0.90)";="(-0.76)";="(-0.87)";="(-0.99)"

="ngdp_rpch";="-0.00454";="-0.00844";="-0.0107";="-0.00442"
="";="(-0.19)";="(-0.35)";="(-0.42)";="(-0.18)"

="extdebtpercgni_var";="-0.00385";="-0.00371";="-0.00448";="-0.00463"
="";="(-1.06)";="(-1.00)";="(-1.16)";="(-1.30)"

="ggxwdg_ngdp_var";="-0.0111";="-0.0104";="-0.00976";="-0.0103"
="";="(-1.64)";="(-1.54)";="(-1.44)";="(-1.56)"

="pcpipch";="-0.00277";="-0.00251";="-0.00210";="-0.00183"
="";="(-0.56)";="(-0.49)";="(-0.42)";="(-0.38)"

="defaultlastyear";="0.360";="";="";=""
="";="(1.45)";="";="";=""

="defaultlast2years";="";="0.530**";="";=""
="";="";="(2.13)";="";=""

="defaultlast5years";="";="";="0.643***";=""
="";="";="";="(2.96)";=""

="defaultlast10years";="";="";="";="0.372"
="";="";="";="";="(1.27)"

="_cons";="-0.848***";="-0.908***";="-0.987***";="-0.926***"
="";="(-3.96)";="(-4.21)";="(-4.52)";="(-3.83)"

="lnsig2u";="";="";="";=""
="_cons";="0.0843";="-0.00694";="-0.108";="0.0117"
="";="(0.25)";="(-0.02)";="(-0.32)";="(0.03)"

="N";="851";="851";="851";="851"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
