
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf"

="diff_dw_mf",="",="",="",=""
="ngdpdpc_var",="-0.00270",="-0.00199",="-0.00300",="-0.00378"
="",="(-0.42)",="(-0.30)",="(-0.44)",="(-0.56)"

="ngdp_rpch",="0.0135",="0.00825",="0.00467",="0.0116"
="",="(0.61)",="(0.36)",="(0.20)",="(0.51)"

="extdebtpercgni_var",="-0.00319",="-0.00306",="-0.00382",="-0.00406"
="",="(-0.95)",="(-0.90)",="(-1.07)",="(-1.22)"

="ggxwdn_ngdp_var",="0.0000153*",="0.0000146*",="0.0000158**",="0.0000151**"
="",="(1.92)",="(1.82)",="(2.07)",="(1.98)"

="pcpipch",="-0.00208",="-0.00187",="-0.00157",="-0.00132"
="",="(-0.38)",="(-0.35)",="(-0.37)",="(-0.55)"

="defaultlastyear",="0.374",="",="",=""
="",="(1.53)",="",="",=""

="defaultlast2years",="",="0.549**",="",=""
="",="",="(2.26)",="",=""

="defaultlast5years",="",="",="0.671***",=""
="",="",="",="(3.17)",=""

="defaultlast10years",="",="",="",="0.416"
="",="",="",="",="(1.47)"

="_cons",="-0.955***",="-1.010***",="-1.088***",="-1.039***"
="",="(-4.55)",="(-4.79)",="(-5.19)",="(-4.48)"

="lnsig2u",="",="",="",=""
="_cons",="0.112",="0.0219",="-0.0801",="0.0276"
="",="(0.33)",="(0.07)",="(-0.24)",="(0.08)"

="N",="851",="851",="851",="851"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
