
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf"

="diff_dw_sf",="",="",="",=""
="ngdpdpc_var",="-0.0124**",="-0.0125**",="-0.0124**",="-0.0128**"
="",="(-2.28)",="(-2.29)",="(-2.26)",="(-2.34)"

="ngdp_rpch",="-0.0185",="-0.0183",="-0.0212",="-0.0172"
="",="(-0.79)",="(-0.78)",="(-0.89)",="(-0.72)"

="extdebtpercgni_var",="-0.00310",="-0.00308",="-0.00297",="-0.00335"
="",="(-1.35)",="(-1.34)",="(-1.27)",="(-1.47)"

="ggxwdn_ngdp_var",="-0.00000599",="-0.00000604",="-0.00000571",="-0.00000602"
="",="(-0.69)",="(-0.69)",="(-0.68)",="(-0.69)"

="pcpipch",="-0.000107",="-0.0000971",="-0.000101",="-0.0000864"
="",="(-0.25)",="(-0.22)",="(-0.23)",="(-0.20)"

="defaultlastyear",="0.231",="",="",=""
="",="(1.06)",="",="",=""

="defaultlast2years",="",="0.193",="",=""
="",="",="(1.00)",="",=""

="defaultlast5years",="",="",="0.372**",=""
="",="",="",="(2.10)",=""

="defaultlast10years",="",="",="",="0.143"
="",="",="",="",="(0.71)"

="_cons",="-0.859***",="-0.853***",="-0.937***",="-0.859***"
="",="(-5.35)",="(-5.37)",="(-5.92)",="(-5.09)"

="lnsig2u",="",="",="",=""
="_cons",="-0.138",="-0.141",="-0.166",="-0.130"
="",="(-0.54)",="(-0.55)",="(-0.65)",="(-0.51)"

="N",="1194",="1194",="1194",="1194"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
