
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf"

="diff_dw_sf",="",="",="",=""
="ngdpdpc_var",="-0.0134**",="-0.0134**",="-0.0139**",="-0.0139**"
="",="(-1.99)",="(-1.97)",="(-2.01)",="(-2.06)"

="ngdp_rpch",="-0.0182",="-0.0198",="-0.0211",="-0.0174"
="",="(-0.66)",="(-0.72)",="(-0.76)",="(-0.64)"

="extdebtpercgni_var",="-0.00407",="-0.00388",="-0.00440",="-0.00460"
="",="(-1.15)",="(-1.10)",="(-1.18)",="(-1.31)"

="ggsb_npgdp",="-0.0140",="-0.0153",="-0.0137",="-0.0103"
="",="(-0.51)",="(-0.55)",="(-0.50)",="(-0.38)"

="pcpipch",="-0.0000799",="-0.0000648",="-0.0000622",="-0.0000569"
="",="(-0.18)",="(-0.15)",="(-0.14)",="(-0.13)"

="defaultlastyear",="0.432*",="",="",=""
="",="(1.67)",="",="",=""

="defaultlast2years",="",="0.424**",="",=""
="",="",="(2.03)",="",=""

="defaultlast5years",="",="",="0.383**",=""
="",="",="",="(2.20)",=""

="defaultlast10years",="",="",="",="0.0742"
="",="",="",="",="(0.39)"

="_cons",="-1.026***",="-1.038***",="-1.040***",="-0.937***"
="",="(-5.10)",="(-5.11)",="(-5.07)",="(-4.40)"

="lnsig2u",="",="",="",=""
="_cons",="-0.0586",="-0.0617",="-0.0569",="-0.0260"
="",="(-0.21)",="(-0.22)",="(-0.20)",="(-0.10)"

="N",="960",="960",="960",="960"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
