
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm"

="diff_dw_sm",="",="",="",=""
="ngdpdpc_var",="-0.00832",="-0.00844",="-0.00834",="-0.00817"
="",="(-1.35)",="(-1.37)",="(-1.34)",="(-1.32)"

="ngdp_rpch",="0.0399*",="0.0400*",="0.0399*",="0.0394*"
="",="(1.77)",="(1.78)",="(1.77)",="(1.74)"

="extdebtpercgni_var",="0.00260",="0.00253",="0.00263",="0.00272"
="",="(0.83)",="(0.81)",="(0.83)",="(0.86)"

="ggxwdg_ngdp_var",="0.0106***",="0.0105***",="0.0106***",="0.0107***"
="",="(3.00)",="(3.01)",="(2.97)",="(3.01)"

="pcpipch",="-0.000512",="-0.000519",="-0.000528",="-0.000528"
="",="(-0.69)",="(-0.69)",="(-0.69)",="(-0.70)"

="defaultlastyear",="-0.124",="",="",=""
="",="(-0.60)",="",="",=""

="defaultlast2years",="",="-0.140",="",=""
="",="",="(-0.71)",="",=""

="defaultlast5years",="",="",="-0.0664",=""
="",="",="",="(-0.37)",=""

="defaultlast10years",="",="",="",="-0.00368"
="",="",="",="",="(-0.02)"

="_cons",="-0.625***",="-0.613***",="-0.634***",="-0.660***"
="",="(-3.82)",="(-3.73)",="(-3.76)",="(-3.62)"

="lnsig2u",="",="",="",=""
="_cons",="0.0964",="0.101",="0.0869",="0.0695"
="",="(0.39)",="(0.41)",="(0.35)",="(0.27)"

="N",="1165",="1165",="1165",="1165"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
