
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_mf",="diff_up_mf",="diff_up_mf",="diff_up_mf"

="diff_up_mf",="",="",="",=""
="ngdpdpc_var",="0.00755",="0.00755",="0.00688",="0.00759"
="",="(1.01)",="(1.01)",="(0.93)",="(1.03)"

="ngdp_rpch",="-0.0316",="-0.0317",="-0.0288",="-0.0314"
="",="(-1.50)",="(-1.50)",="(-1.36)",="(-1.50)"

="extdebtpercgni_var",="0.00620*",="0.00621*",="0.00603*",="0.00626*"
="",="(1.80)",="(1.79)",="(1.74)",="(1.81)"

="budgetbal_ngdp_var",="-0.0000483",="-0.0000477",="-0.0000516",="-0.0000473"
="",="(-1.10)",="(-1.06)",="(-1.14)",="(-1.04)"

="pcpipch",="-0.00286",="-0.00290",="-0.00284",="-0.00280"
="",="(-0.35)",="(-0.35)",="(-0.36)",="(-0.34)"

="defaultlastyear",="-0.0608",="",="",=""
="",="(-0.21)",="",="",=""

="defaultlast2years",="",="-0.0470",="",=""
="",="",="(-0.18)",="",=""

="defaultlast5years",="",="",="-0.253",=""
="",="",="",="(-0.94)",=""

="defaultlast10years",="",="",="",="-0.0858"
="",="",="",="",="(-0.33)"

="_cons",="-0.535***",="-0.536***",="-0.469**",="-0.513**"
="",="(-2.89)",="(-2.92)",="(-2.43)",="(-2.44)"

="lnsig2u",="",="",="",=""
="_cons",="0.188",="0.187",="0.224",="0.201"
="",="(0.72)",="(0.72)",="(0.85)",="(0.75)"

="N",="903",="903",="903",="903"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
