
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_mf",="diff_up_mf",="diff_up_mf",="diff_up_mf"

="diff_up_mf",="",="",="",=""
="ngdpdpc_var",="0.00948",="0.00948",="0.00881",="0.00951"
="",="(1.21)",="(1.21)",="(1.14)",="(1.22)"

="ngdp_rpch",="-0.0201",="-0.0203",="-0.0176",="-0.0198"
="",="(-0.91)",="(-0.91)",="(-0.78)",="(-0.89)"

="extdebtpercgni_var",="0.00636*",="0.00636*",="0.00618*",="0.00640*"
="",="(1.86)",="(1.86)",="(1.81)",="(1.87)"

="ggxwdg_ngdp_var",="0.00644",="0.00642",="0.00633",="0.00644"
="",="(1.56)",="(1.56)",="(1.55)",="(1.56)"

="pcpipch",="-0.00242",="-0.00246",="-0.00238",="-0.00233"
="",="(-0.30)",="(-0.30)",="(-0.31)",="(-0.30)"

="defaultlastyear",="-0.0536",="",="",=""
="",="(-0.18)",="",="",=""

="defaultlast2years",="",="-0.0383",="",=""
="",="",="(-0.14)",="",=""

="defaultlast5years",="",="",="-0.239",=""
="",="",="",="(-0.90)",=""

="defaultlast10years",="",="",="",="-0.0869"
="",="",="",="",="(-0.33)"

="_cons",="-0.612***",="-0.613***",="-0.547***",="-0.588***"
="",="(-3.24)",="(-3.27)",="(-2.83)",="(-2.79)"

="lnsig2u",="",="",="",=""
="_cons",="0.177",="0.176",="0.209",="0.191"
="",="(0.68)",="(0.68)",="(0.79)",="(0.71)"

="N",="903",="903",="903",="903"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
