
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_mf",="diff_up_mf",="diff_up_mf",="diff_up_mf"

="diff_up_mf",="",="",="",=""
="ngdpdpc_var",="0.00559",="0.00540",="0.00486",="0.00606"
="",="(0.74)",="(0.72)",="(0.66)",="(0.82)"

="ngdp_rpch",="-0.0211",="-0.0207",="-0.0190",="-0.0234"
="",="(-0.97)",="(-0.93)",="(-0.85)",="(-1.07)"

="extdebtpercgni_var",="0.00597*",="0.00588*",="0.00590*",="0.00619*"
="",="(1.72)",="(1.68)",="(1.69)",="(1.83)"

="ggsb_npgdp",="-0.0555*",="-0.0548*",="-0.0513",="-0.0537*"
="",="(-1.70)",="(-1.67)",="(-1.56)",="(-1.67)"

="pcpipch",="-0.00100",="-0.00115",="-0.00112",="-0.000945"
="",="(-0.14)",="(-0.15)",="(-0.15)",="(-0.16)"

="defaultlastyear",="-0.397",="",="",=""
="",="(-1.16)",="",="",=""

="defaultlast2years",="",="-0.375",="",=""
="",="",="(-1.30)",="",=""

="defaultlast5years",="",="",="-0.427",=""
="",="",="",="(-1.41)",=""

="defaultlast10years",="",="",="",="-0.0972"
="",="",="",="",="(-0.36)"

="_cons",="-0.739***",="-0.732***",="-0.692***",="-0.772***"
="",="(-3.46)",="(-3.41)",="(-3.17)",="(-3.41)"

="lnsig2u",="",="",="",=""
="_cons",="0.0422",="0.0467",="0.0589",="0.0348"
="",="(0.14)",="(0.16)",="(0.20)",="(0.12)"

="N",="805",="805",="805",="805"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
