
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sf",="diff_up_sf",="diff_up_sf",="diff_up_sf"

="diff_up_sf",="",="",="",=""
="ngdpdpc_var",="-0.00809",="-0.00809",="-0.00816",="-0.00797"
="",="(-1.16)",="(-1.17)",="(-1.19)",="(-1.15)"

="ngdp_rpch",="-0.0290",="-0.0289",="-0.0284",="-0.0313"
="",="(-1.20)",="(-1.20)",="(-1.15)",="(-1.30)"

="extdebtpercgni_var",="-0.00622",="-0.00624",="-0.00629",="-0.00616"
="",="(-1.21)",="(-1.22)",="(-1.23)",="(-1.20)"

="ggsb_npgdp",="-0.00549",="-0.00573",="-0.00545",="-0.00746"
="",="(-0.16)",="(-0.17)",="(-0.16)",="(-0.23)"

="pcpipch",="-0.000700",="-0.000694",="-0.000690",="-0.000746"
="",="(-1.30)",="(-1.30)",="(-1.30)",="(-1.27)"

="defaultlastyear",="0.108",="",="",=""
="",="(0.35)",="",="",=""

="defaultlast2years",="",="0.0777",="",=""
="",="",="(0.27)",="",=""

="defaultlast5years",="",="",="0.0282",=""
="",="",="",="(0.11)",=""

="defaultlast10years",="",="",="",="0.237"
="",="",="",="",="(0.85)"

="_cons",="-1.023***",="-1.019***",="-1.009***",="-1.099***"
="",="(-4.63)",="(-4.62)",="(-4.55)",="(-4.50)"

="lnsig2u",="",="",="",=""
="_cons",="-0.0895",="-0.0896",="-0.0872",="-0.0903"
="",="(-0.31)",="(-0.31)",="(-0.30)",="(-0.31)"

="N",="922",="922",="922",="922"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
