
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sm";="diff_up_sm";="diff_up_sm";="diff_up_sm"

="diff_up_sm";="";="";="";=""
="ngdpdpc_var";="-0.00279";="-0.00239";="-0.00241";="-0.00272"
="";="(-0.45)";="(-0.39)";="(-0.39)";="(-0.45)"

="ngdp_rpch";="0.00580";="0.00387";="0.000900";="0.00213"
="";="(0.28)";="(0.19)";="(0.04)";="(0.10)"

="extdebtpercgni_var";="-0.00366";="-0.00345";="-0.00376";="-0.00370"
="";="(-1.13)";="(-1.07)";="(-1.16)";="(-1.14)"

="ggxwdg_ngdp_var";="0.00114";="0.00142";="0.00167";="0.00129"
="";="(0.30)";="(0.37)";="(0.43)";="(0.34)"

="pcpipch";="-0.00933";="-0.00974";="-0.0104";="-0.00914"
="";="(-1.30)";="(-1.33)";="(-1.35)";="(-1.27)"

="defaultlastyear";="0.182";="";="";=""
="";="(0.93)";="";="";=""

="defaultlast2years";="";="0.294";="";=""
="";="";="(1.48)";="";=""

="defaultlast5years";="";="";="0.361";=""
="";="";="";="(1.54)";=""

="defaultlast10years";="";="";="";="0.300"
="";="";="";="";="(1.04)"

="_cons";="-0.676***";="-0.720***";="-0.756***";="-0.756***"
="";="(-3.96)";="(-4.17)";="(-4.23)";="(-3.58)"

="lnsig2u";="";="";="";=""
="_cons";="0.102";="0.0739";="0.0490";="0.0446"
="";="(0.36)";="(0.26)";="(0.17)";="(0.15)"

="N";="1103";="1103";="1103";="1103"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
