
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm"

="diff_dw_sm";="";="";="";=""
="ngdpdpc_var";="-0.0121*";="-0.0120*";="-0.0121*";="-0.0118*"
="";="(-1.96)";="(-1.94)";="(-1.94)";="(-1.90)"

="ngdp_rpch";="0.0160";="0.0156";="0.0159";="0.0153"
="";="(0.68)";="(0.66)";="(0.67)";="(0.65)"

="extdebtpercgni_var";="-0.00149";="-0.00137";="-0.00133";="-0.00119"
="";="(-0.44)";="(-0.41)";="(-0.40)";="(-0.35)"

="ggsb_npgdp";="-0.0371";="-0.0372";="-0.0367";="-0.0372"
="";="(-1.36)";="(-1.37)";="(-1.34)";="(-1.38)"

="pcpipch";="-0.000345";="-0.000359";="-0.000364";="-0.000354"
="";="(-0.56)";="(-0.58)";="(-0.59)";="(-0.59)"

="defaultlastyear";="-0.236";="";="";=""
="";="(-0.90)";="";="";=""

="defaultlast2years";="";="-0.109";="";=""
="";="";="(-0.46)";="";=""

="defaultlast5years";="";="";="-0.121";=""
="";="";="";="(-0.60)";=""

="defaultlast10years";="";="";="";="-0.102"
="";="";="";="";="(-0.38)"

="_cons";="-0.595***";="-0.621***";="-0.610***";="-0.609***"
="";="(-3.17)";="(-3.36)";="(-3.26)";="(-3.21)"

="lnsig2u";="";="";="";=""
="_cons";="-0.0325";="-0.0559";="-0.0516";="-0.0550"
="";="(-0.11)";="(-0.18)";="(-0.17)";="(-0.18)"

="N";="976";="976";="976";="976"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
