
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sf";="diff_up_sf";="diff_up_sf";="diff_up_sf"

="diff_up_sf";="";="";="";=""
="ngdpdpc_var";="-0.00467";="-0.00465";="-0.00467";="-0.00471"
="";="(-0.79)";="(-0.80)";="(-0.80)";="(-0.80)"

="ngdp_rpch";="-0.00782";="-0.00780";="-0.00794";="-0.00831"
="";="(-0.66)";="(-0.66)";="(-0.67)";="(-0.69)"

="extdebtpercgni_var";="-0.00147";="-0.00148";="-0.00146";="-0.00139"
="";="(-0.44)";="(-0.44)";="(-0.43)";="(-0.42)"

="ggxwdn_ngdp_var";="0.0000198***";="0.0000199***";="0.0000198***";="0.0000191***"
="";="(3.26)";="(3.25)";="(3.22)";="(3.20)"

="pcpipch";="-0.000529";="-0.000526";="-0.000529";="-0.000554"
="";="(-1.29)";="(-1.29)";="(-1.29)";="(-1.35)"

="defaultlastyear";="0.0927";="";="";=""
="";="(0.36)";="";="";=""

="defaultlast2years";="";="0.0840";="";=""
="";="";="(0.34)";="";=""

="defaultlast5years";="";="";="0.0833";=""
="";="";="";="(0.37)";=""

="defaultlast10years";="";="";="";="0.220"
="";="";="";="";="(0.83)"

="_cons";="-1.088***";="-1.089***";="-1.094***";="-1.170***"
="";="(-6.47)";="(-6.42)";="(-6.23)";="(-5.70)"

="lnsig2u";="";="";="";=""
="_cons";="0.208";="0.210";="0.214";="0.207"
="";="(0.74)";="(0.74)";="(0.77)";="(0.75)"

="N";="1149";="1149";="1149";="1149"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
