
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_mf";="diff_up_mf";="diff_up_mf";="diff_up_mf"

="diff_up_mf";="";="";="";=""
="ngdpdpc_var";="0.00804";="0.00804";="0.00738";="0.00807"
="";="(1.08)";="(1.08)";="(1.01)";="(1.10)"

="ngdp_rpch";="-0.0316";="-0.0317";="-0.0289";="-0.0313"
="";="(-1.50)";="(-1.49)";="(-1.36)";="(-1.49)"

="extdebtpercgni_var";="0.00628*";="0.00628*";="0.00611*";="0.00632*"
="";="(1.81)";="(1.81)";="(1.76)";="(1.83)"

="ggxwdn_ngdp_var";="0.000868";="0.000864";="0.000857";="0.000861"
="";="(1.00)";="(0.99)";="(0.99)";="(0.98)"

="pcpipch";="-0.00299";="-0.00303";="-0.00297";="-0.00292"
="";="(-0.36)";="(-0.37)";="(-0.37)";="(-0.36)"

="defaultlastyear";="-0.0550";="";="";=""
="";="(-0.19)";="";="";=""

="defaultlast2years";="";="-0.0447";="";=""
="";="";="(-0.17)";="";=""

="defaultlast5years";="";="";="-0.247";=""
="";="";="";="(-0.91)";=""

="defaultlast10years";="";="";="";="-0.0887"
="";="";="";="";="(-0.34)"

="_cons";="-0.534***";="-0.534***";="-0.468**";="-0.509**"
="";="(-2.86)";="(-2.88)";="(-2.41)";="(-2.41)"

="lnsig2u";="";="";="";=""
="_cons";="0.191";="0.190";="0.226";="0.205"
="";="(0.73)";="(0.73)";="(0.86)";="(0.76)"

="N";="903";="903";="903";="903"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
