
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm"

="diff_dw_sm";="";="";="";=""
="ngdpdpc_var";="-0.00957";="-0.00964";="-0.00962";="-0.00953"
="";="(-1.52)";="(-1.53)";="(-1.52)";="(-1.51)"

="ngdp_rpch";="0.0173";="0.0175";="0.0175";="0.0172"
="";="(0.89)";="(0.90)";="(0.89)";="(0.88)"

="extdebtpercgni_var";="0.00312";="0.00307";="0.00310";="0.00315"
="";="(0.95)";="(0.94)";="(0.94)";="(0.96)"

="ggxwdn_ngdp_var";="0.0000891";="0.0000905";="0.0000876";="0.0000877"
="";="(1.04)";="(1.03)";="(1.00)";="(1.02)"

="pcpipch";="-0.000284";="-0.000283";="-0.000289";="-0.000287"
="";="(-0.48)";="(-0.48)";="(-0.48)";="(-0.49)"

="defaultlastyear";="-0.0401";="";="";=""
="";="(-0.26)";="";="";=""

="defaultlast2years";="";="-0.0719";="";=""
="";="";="(-0.49)";="";=""

="defaultlast5years";="";="";="-0.0530";=""
="";="";="";="(-0.37)";=""

="defaultlast10years";="";="";="";="-0.0373"
="";="";="";="";="(-0.19)"

="cut1";="";="";="";=""
="_cons";="0.519***";="0.507***";="0.509***";="0.513***"
="";="(3.38)";="(3.27)";="(3.25)";="(3.03)"

="cut2";="";="";="";=""
="_cons";="1.792***";="1.780***";="1.782***";="1.785***"
="";="(9.98)";="(9.75)";="(9.61)";="(8.88)"

="sigma2_u";="";="";="";=""
="_cons";="1.103***";="1.110***";="1.107***";="1.103***"
="";="(4.25)";="(4.28)";="(4.27)";="(4.21)"

="N";="1165";="1165";="1165";="1165"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
