
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_mf";="diff_up_mf";="diff_up_mf";="diff_up_mf"

="diff_up_mf";="";="";="";=""
="ngdpdpc_var";="0.0112";="0.0113";="0.0111";="0.0113"
="";="(1.42)";="(1.43)";="(1.44)";="(1.44)"

="ngdp_rpch";="-0.0395*";="-0.0399*";="-0.0390*";="-0.0402*"
="";="(-1.87)";="(-1.88)";="(-1.85)";="(-1.92)"

="extdebtpercgni_var";="0.00644*";="0.00647*";="0.00640*";="0.00645*"
="";="(1.89)";="(1.90)";="(1.91)";="(1.89)"

="ggxwdn_ngdp_var";="0.000403";="0.000399";="0.000401";="0.000400"
="";="(0.64)";="(0.63)";="(0.63)";="(0.63)"

="pcpipch";="-0.000627";="-0.000639";="-0.000622";="-0.000669"
="";="(-0.29)";="(-0.29)";="(-0.29)";="(-0.28)"

="defaultlastyear";="-0.0152";="";="";=""
="";="(-0.07)";="";="";=""

="defaultlast2years";="";="0.0233";="";=""
="";="";="(0.12)";="";=""

="defaultlast5years";="";="";="-0.0491";=""
="";="";="";="(-0.18)";=""

="defaultlast10years";="";="";="";="0.0633"
="";="";="";="";="(0.21)"

="cut1";="";="";="";=""
="_cons";="0.544***";="0.554***";="0.532***";="0.574***"
="";="(3.32)";="(3.41)";="(3.07)";="(2.86)"

="cut2";="";="";="";=""
="_cons";="1.876***";="1.885***";="1.864***";="1.906***"
="";="(9.47)";="(9.54)";="(9.17)";="(8.50)"

="sigma2_u";="";="";="";=""
="_cons";="1.076***";="1.073***";="1.080***";="1.067***"
="";="(4.33)";="(4.35)";="(4.33)";="(4.28)"

="N";="903";="903";="903";="903"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
