
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf"

="diff_dw_mf";="";="";="";=""
="ngdpdpc_var";="-0.00134";="-0.000588";="-0.00159";="-0.00208"
="";="(-0.26)";="(-0.11)";="(-0.29)";="(-0.38)"

="ngdp_rpch";="-0.00379";="-0.00911";="-0.0111";="-0.00464"
="";="(-0.16)";="(-0.37)";="(-0.44)";="(-0.19)"

="extdebtpercgni_var";="-0.00377";="-0.00366";="-0.00442";="-0.00441"
="";="(-1.24)";="(-1.19)";="(-1.42)";="(-1.49)"

="budgetbal_ngdp_var";="0.00000521";="0.00000138";="0.00000362";="0.00000331"
="";="(1.05)";="(0.28)";="(0.87)";="(0.71)"

="pcpipch";="-0.00273";="-0.00254";="-0.00226";="-0.00202"
="";="(-0.44)";="(-0.40)";="(-0.37)";="(-0.33)"

="defaultlastyear";="0.287";="";="";=""
="";="(1.31)";="";="";=""

="defaultlast2years";="";="0.481**";="";=""
="";="";="(2.22)";="";=""

="defaultlast5years";="";="";="0.522**";=""
="";="";="";="(2.42)";=""

="defaultlast10years";="";="";="";="0.293"
="";="";="";="";="(1.06)"

="cut1";="";="";="";=""
="_cons";="0.874***";="0.932***";="0.977***";="0.930***"
="";="(4.25)";="(4.46)";="(4.56)";="(3.90)"

="cut2";="";="";="";=""
="_cons";="2.064***";="2.126***";="2.163***";="2.115***"
="";="(8.47)";="(8.50)";="(8.41)";="(7.57)"

="sigma2_u";="";="";="";=""
="_cons";="0.885***";="0.808***";="0.759***";="0.844***"
="";="(3.56)";="(3.54)";="(3.55)";="(3.42)"

="N";="851";="851";="851";="851"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
