
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf"

="diff_dw_mf";="";="";="";=""
="ngdpdpc_var";="-0.000815";="-0.0000778";="-0.000632";="-0.00115"
="";="(-0.14)";="(-0.01)";="(-0.11)";="(-0.20)"

="ngdp_rpch";="-0.00702";="-0.0108";="-0.0146";="-0.00882"
="";="(-0.28)";="(-0.43)";="(-0.57)";="(-0.35)"

="extdebtpercgni_var";="-0.00306";="-0.00272";="-0.00338";="-0.00349"
="";="(-0.90)";="(-0.81)";="(-0.96)";="(-1.03)"

="ggsb_npgdp";="0.0134";="0.00936";="0.0108";="0.0140"
="";="(0.53)";="(0.37)";="(0.43)";="(0.56)"

="pcpipch";="-0.00325";="-0.00305";="-0.00287";="-0.00289"
="";="(-0.54)";="(-0.49)";="(-0.47)";="(-0.47)"

="defaultlastyear";="0.119";="";="";=""
="";="(0.51)";="";="";=""

="defaultlast2years";="";="0.328";="";=""
="";="";="(1.47)";="";=""

="defaultlast5years";="";="";="0.425*";=""
="";="";="";="(1.81)";=""

="defaultlast10years";="";="";="";="0.177"
="";="";="";="";="(0.58)"

="cut1";="";="";="";=""
="_cons";="0.840***";="0.899***";="0.937***";="0.874***"
="";="(3.52)";="(3.78)";="(3.88)";="(3.34)"

="cut2";="";="";="";=""
="_cons";="1.985***";="2.046***";="2.079***";="2.017***"
="";="(7.31)";="(7.50)";="(7.43)";="(6.77)"

="sigma2_u";="";="";="";=""
="_cons";="1.078***";="0.987***";="0.913***";="1.022***"
="";="(3.33)";="(3.31)";="(3.27)";="(3.12)"

="N";="776";="776";="776";="776"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
