;(1);(2);(3);(4)
;diff_dw_sf;diff_dw_sf;diff_dw_sf;diff_dw_sf
;;;;
diff_dw_sf;;;;
ngdpdpc_var;-0.0113**;-0.0114**;-0.0113**;-0.0119**
;(-2.22);(-2.23);(-2.21);(-2.32)
;;;;
ngdp_rpch;-0.0224;-0.0224;-0.0250;-0.0210
;(-1.01);(-1.01);(-1.11);(-0.93)
;;;;
extdebtpercgni_var;-0.00404**;-0.00400*;-0.00401*;-0.00435**
;(-1.97);(-1.94);(-1.90);(-2.10)
;;;;
ggxwdg_ngdp_var;0.00201;0.00205;0.00218;0.00201
;(0.49);(0.50);(0.54);(0.50)
;;;;
pcpipch;-0.000110;-0.0000914;-0.0000783;-0.0000695
;(-0.25);(-0.21);(-0.18);(-0.16)
;;;;
defaultlastyear;0.326;;;
;(1.57);;;
;;;;
defaultlast2years;;0.281;;
;;(1.46);;
;;;;
defaultlast5years;;;0.433***;
;;;(2.67);
;;;;
defaultlast10years;;;;0.183
;;;;(1.00)
;;;;
cut1;;;;
_cons;0.885***;0.879***;0.961***;0.875***
;(5.34);(5.28);(5.86);(5.06)
;;;;
cut2;;;;
_cons;2.310***;2.302***;2.389***;2.294***
;(11.67);(11.66);(11.77);(10.99)
;;;;
sigma2_u;;;;
_cons;0.891***;0.885***;0.873***;0.904***
;(3.24);(3.24);(3.25);(3.24)
;;;;
N;1194;1194;1194;1194
;;;;
t statistics in parentheses;;;;
"=""* p<0.10"; ** p<0.05;" *** p<0.01""";;
* p<0.10, ** p<0.05, *** p<0.01;;;;
