
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm"

="diff_dw_sm";="";="";="";=""
="ngdpdpc_var";="-0.00604";="-0.00610";="-0.00609";="-0.00602"
="";="(-0.89)";="(-0.90)";="(-0.89)";="(-0.89)"

="ngdp_rpch";="0.0290*";="0.0292*";="0.0292*";="0.0290*"
="";="(1.66)";="(1.67)";="(1.66)";="(1.66)"

="extdebtpercgni_var";="0.00338";="0.00335";="0.00336";="0.00340"
="";="(1.04)";="(1.03)";="(1.03)";="(1.04)"

="ggxwdg_ngdp_var";="0.00884***";="0.00881***";="0.00882***";="0.00884***"
="";="(3.57)";="(3.57)";="(3.53)";="(3.56)"

="pcpipch";="-0.000232";="-0.000230";="-0.000233";="-0.000233"
="";="(-0.42)";="(-0.41)";="(-0.42)";="(-0.42)"

="defaultlastyear";="-0.0192";="";="";=""
="";="(-0.12)";="";="";=""

="defaultlast2years";="";="-0.0432";="";=""
="";="";="(-0.29)";="";=""

="defaultlast5years";="";="";="-0.0344";=""
="";="";="";="(-0.24)";=""

="defaultlast10years";="";="";="";="-0.0215"
="";="";="";="";="(-0.11)"

="cut1";="";="";="";=""
="_cons";="0.620***";="0.611***";="0.611***";="0.615***"
="";="(4.14)";="(4.05)";="(3.94)";="(3.66)"

="cut2";="";="";="";=""
="_cons";="1.904***";="1.895***";="1.896***";="1.900***"
="";="(10.84)";="(10.62)";="(10.30)";="(9.52)"

="sigma2_u";="";="";="";=""
="_cons";="1.118***";="1.123***";="1.122***";="1.119***"
="";="(4.21)";="(4.24)";="(4.24)";="(4.18)"

="N";="1165";="1165";="1165";="1165"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
