
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_mf";="diff_up_mf";="diff_up_mf";="diff_up_mf"

="diff_up_mf";="";="";="";=""
="ngdpdpc_var";="0.0109";="0.0110";="0.0108";="0.0110"
="";="(1.38)";="(1.39)";="(1.40)";="(1.40)"

="ngdp_rpch";="-0.0396*";="-0.0400*";="-0.0391*";="-0.0404**"
="";="(-1.90)";="(-1.92)";="(-1.89)";="(-1.96)"

="extdebtpercgni_var";="0.00646*";="0.00649*";="0.00641*";="0.00646*"
="";="(1.90)";="(1.90)";="(1.91)";="(1.89)"

="budgetbal_ngdp_var";="-0.0000154";="-0.0000145";="-0.0000160";="-0.0000148"
="";="(-0.37)";="(-0.34)";="(-0.37)";="(-0.34)"

="pcpipch";="-0.000621";="-0.000633";="-0.000615";="-0.000663"
="";="(-0.30)";="(-0.29)";="(-0.30)";="(-0.29)"

="defaultlastyear";="-0.0157";="";="";=""
="";="(-0.08)";="";="";=""

="defaultlast2years";="";="0.0232";="";=""
="";="";="(0.12)";="";=""

="defaultlast5years";="";="";="-0.0507";=""
="";="";="";="(-0.19)";=""

="defaultlast10years";="";="";="";="0.0652"
="";="";="";="";="(0.22)"

="cut1";="";="";="";=""
="_cons";="0.545***";="0.554***";="0.532***";="0.576***"
="";="(3.35)";="(3.44)";="(3.08)";="(2.88)"

="cut2";="";="";="";=""
="_cons";="1.874***";="1.883***";="1.861***";="1.904***"
="";="(9.51)";="(9.57)";="(9.19)";="(8.51)"

="sigma2_u";="";="";="";=""
="_cons";="1.072***";="1.069***";="1.077***";="1.062***"
="";="(4.33)";="(4.35)";="(4.32)";="(4.27)"

="N";="903";="903";="903";="903"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
