
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sf";="diff_up_sf";="diff_up_sf";="diff_up_sf"

="diff_up_sf";="";="";="";=""
="ngdpdpc_var";="-0.00758";="-0.00750";="-0.00757";="-0.00758"
="";="(-1.48)";="(-1.48)";="(-1.49)";="(-1.48)"

="ngdp_rpch";="-0.00216";="-0.00238";="-0.00226";="-0.00254"
="";="(-0.21)";="(-0.23)";="(-0.22)";="(-0.24)"

="extdebtpercgni_var";="-0.000846";="-0.000818";="-0.000833";="-0.000791"
="";="(-0.31)";="(-0.30)";="(-0.30)";="(-0.29)"

="budgetbal_ngdp_var";="-0.0000559**";="-0.0000557**";="-0.0000552*";="-0.0000558**"
="";="(-2.01)";="(-2.00)";="(-1.89)";="(-2.01)"

="pcpipch";="-0.000427";="-0.000430";="-0.000429";="-0.000445"
="";="(-1.09)";="(-1.10)";="(-1.09)";="(-1.13)"

="defaultlastyear";="0.0474";="";="";=""
="";="(0.21)";="";="";=""

="defaultlast2years";="";="0.0814";="";=""
="";="";="(0.38)";="";=""

="defaultlast5years";="";="";="0.0510";=""
="";="";="";="(0.24)";=""

="defaultlast10years";="";="";="";="0.150"
="";="";="";="";="(0.63)"

="cut1";="";="";="";=""
="_cons";="1.064***";="1.077***";="1.070***";="1.124***"
="";="(6.60)";="(6.63)";="(6.28)";="(5.77)"

="cut2";="";="";="";=""
="_cons";="2.569***";="2.582***";="2.575***";="2.630***"
="";="(11.65)";="(11.73)";="(11.25)";="(10.45)"

="sigma2_u";="";="";="";=""
="_cons";="1.054***";="1.048***";="1.056***";="1.054***"
="";="(3.40)";="(3.41)";="(3.47)";="(3.48)"

="N";="1149";="1149";="1149";="1149"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
