
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sm";="diff_up_sm";="diff_up_sm";="diff_up_sm"

="diff_up_sm";="";="";="";=""
="ngdpdpc_var";="-0.00195";="-0.00167";="-0.00197";="-0.00224"
="";="(-0.38)";="(-0.32)";="(-0.39)";="(-0.44)"

="ngdp_rpch";="-0.00542";="-0.00767";="-0.00988";="-0.00556"
="";="(-0.23)";="(-0.33)";="(-0.42)";="(-0.24)"

="extdebtpercgni_var";="-0.00274";="-0.00249";="-0.00289";="-0.00293"
="";="(-0.95)";="(-0.87)";="(-1.02)";="(-1.02)"

="budgetbal_ngdp_var";="0.00000485";="0.00000187";="0.00000334";="0.00000358"
="";="(0.69)";="(0.26)";="(0.50)";="(0.52)"

="pcpipch";="-0.00757";="-0.00791";="-0.00841";="-0.00710"
="";="(-1.03)";="(-1.04)";="(-1.06)";="(-0.98)"

="defaultlastyear";="0.247*";="";="";=""
="";="(1.66)";="";="";=""

="defaultlast2years";="";="0.336**";="";=""
="";="";="(1.96)";="";=""

="defaultlast5years";="";="";="0.349";=""
="";="";="";="(1.54)";=""

="defaultlast10years";="";="";="";="0.175"
="";="";="";="";="(0.54)"

="cut1";="";="";="";=""
="_cons";="0.670***";="0.708***";="0.725***";="0.681***"
="";="(4.17)";="(4.33)";="(4.15)";="(3.05)"

="cut2";="";="";="";=""
="_cons";="1.850***";="1.890***";="1.906***";="1.859***"
="";="(9.40)";="(9.74)";="(9.32)";="(7.39)"

="sigma2_u";="";="";="";=""
="_cons";="0.901***";="0.891***";="0.881***";="0.905***"
="";="(4.13)";="(4.09)";="(4.05)";="(3.69)"

="N";="1103";="1103";="1103";="1103"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
