
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sm";="diff_up_sm";="diff_up_sm";="diff_up_sm"

="diff_up_sm";="";="";="";=""
="ngdpdpc_var";="-0.00191";="-0.00152";="-0.00175";="-0.00223"
="";="(-0.35)";="(-0.28)";="(-0.32)";="(-0.41)"

="ngdp_rpch";="-0.00520";="-0.00739";="-0.00944";="-0.00545"
="";="(-0.23)";="(-0.33)";="(-0.41)";="(-0.25)"

="extdebtpercgni_var";="-0.00275";="-0.00248";="-0.00288";="-0.00294"
="";="(-0.96)";="(-0.87)";="(-1.01)";="(-1.02)"

="ggxwdg_ngdp_var";="-0.00000479";="0.000224";="0.000337";="-0.0000395"
="";="(-0.00)";="(0.07)";="(0.11)";="(-0.01)"

="pcpipch";="-0.00752";="-0.00789";="-0.00837";="-0.00707"
="";="(-1.02)";="(-1.04)";="(-1.05)";="(-0.97)"

="defaultlastyear";="0.243";="";="";=""
="";="(1.64)";="";="";=""

="defaultlast2years";="";="0.338**";="";=""
="";="";="(1.98)";="";=""

="defaultlast5years";="";="";="0.351";=""
="";="";="";="(1.57)";=""

="defaultlast10years";="";="";="";="0.175"
="";="";="";="";="(0.54)"

="cut1";="";="";="";=""
="_cons";="0.670***";="0.711***";="0.729***";="0.681***"
="";="(4.15)";="(4.35)";="(4.22)";="(3.02)"

="cut2";="";="";="";=""
="_cons";="1.851***";="1.893***";="1.910***";="1.859***"
="";="(9.35)";="(9.78)";="(9.42)";="(7.31)"

="sigma2_u";="";="";="";=""
="_cons";="0.904***";="0.891***";="0.882***";="0.906***"
="";="(4.13)";="(4.09)";="(4.06)";="(3.69)"

="N";="1103";="1103";="1103";="1103"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
