Country2Code;Year;Moodys_NumericRating;Fitch_NumericRating;AvgRatingMF;Diff_DW_MF;OLD_Diff_DW_MF_OLD;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
DO;2003;7;7;7;0;0;-5.91;-238.545;-4.66;-144.976;34.11;106.265;34.11;106.265;-0.25;2574.86;-21.346;27.45;36.6;40.208;1;1;1;1
DO;2005;6;6;6;0;0;-0.4;87.922;-0.44;83.68;21.29;-5.378;21.29;-5.378;9.22;4025.42;52.599;4.19;24.15;-37.535;1;1;1;1
DO;2006;6;7;6.5;1;1;-0.93;-133.167;-1.15;-162.045;19.42;-8.765;19.42;-8.765;10.66;4216.93;4.758;7.57;27.04;11.959;1;1;1;1
DO;2007;7;7;7;0;0;0.11;111.337;-0.13;88.552;17.52;-9.807;17.52;-9.807;8.48;4793.05;13.662;6.14;25.66;-5.104;1;1;1;1
DO;2008;7;7;7;0;0;-3.26;-3174.528;-3.9;-2854.545;19.6;11.896;19.6;11.896;3.14;5180.17;8.076;10.64;22.86;-10.89;1;1;1;1
DO;2009;7;7;7;0;0;-3.03;7.088;-2.41;38.282;22.73;15.947;22.73;15.947;0.94;5131.67;-0.936;1.44;25.51;11.591;1;1;1;1
DO;2014;8;8;8;0;0;-3.03;14.679;-3.1;-5.692;34.38;-0.639;34.38;-0.639;7.34;6481.31;3.467;3;44;4.409;1;1;1;1
DO;2015;8;8;8;0;0;0.07;102.241;-2.71;12.706;34.29;-0.273;34.29;-0.273;7;6755.74;4.234;0.84;25.49;-42.064;1;1;1;1
MA;2007;11;12;11.5;1;1;-0.13;93.532;-1.19;50.437;51.99;-8.444;50.53;-7.048;3.53;2562.86;13.901;2.04;26.26;-0.122;1;1;1;1
MA;2008;11;12;11.5;1;1;0.68;637.302;-0.38;68.094;45.44;-12.589;44.73;-11.467;5.92;2967.15;15.775;3.89;22.7;-13.536;1;1;1;1
MA;2009;11;12;11.5;1;1;-1.76;-360.561;-1.89;-396.579;46.13;1.503;45.45;1.605;4.24;2947.81;-0.652;0.97;26.92;18.575;1;1;1;1
MA;2010;11;12;11.5;1;1;-4.26;-141.27;-4.32;-129.041;49;6.226;48.49;6.691;3.82;2926.67;-0.717;0.99;29.64;10.112;0;1;1;1
MA;2011;11;12;11.5;1;1;-6.58;-54.488;-6.79;-57.173;52.55;7.243;52.14;7.514;5.25;3149.43;7.612;0.91;30.01;1.228;0;0;1;1
