
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf"

="diff_dw_mf";="";="";="";=""
="ngdpdpc_var";="-0.00991";="-0.00982";="-0.00989";="-0.01000"
="";="(-1.06)";="(-1.04)";="(-1.05)";="(-1.09)"

="ngdp_rpch";="0.0442";="0.0436";="0.0427";="0.0482"
="";="(1.26)";="(1.24)";="(1.18)";="(1.32)"

="extdebtpercgni_var";="-0.00601";="-0.00620";="-0.00622";="-0.00600"
="";="(-0.82)";="(-0.86)";="(-0.85)";="(-0.83)"

="budgetbal_ngdp_var";="0.0000783";="0.0000781";="0.0000789";="0.0000756"
="";="(0.54)";="(0.54)";="(0.55)";="(0.52)"

="pcpipch";="0.0212";="0.0210";="0.0202";="0.0254"
="";="(0.43)";="(0.43)";="(0.40)";="(0.51)"

="defaultlastyear";="0.108";="";="";=""
="";="(0.28)";="";="";=""

="defaultlast2years";="";="0.115";="";=""
="";="";="(0.26)";="";=""

="defaultlast5years";="";="";="0.0989";=""
="";="";="";="(0.27)";=""

="defaultlast10years";="";="";="";="-0.193"
="";="";="";="";="(-0.42)"

="_cons";="-1.663***";="-1.665***";="-1.662***";="-1.637***"
="";="(-4.49)";="(-4.50)";="(-4.55)";="(-4.49)"

="lnsig2u";="";="";="";=""
="_cons";="0.101";="0.101";="0.0991";="0.133"
="";="(0.30)";="(0.30)";="(0.29)";="(0.38)"

="N";="555";="555";="555";="555"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
