
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf"

="diff_dw_mf",="",="",="",=""
="ngdpdpc_var",="-0.0126",="-0.0126",="-0.0126",="-0.0129"
="",="(-1.36)",="(-1.34)",="(-1.36)",="(-1.41)"

="ngdp_rpch",="0.0181",="0.0177",="0.0174",="0.0210"
="",="(0.45)",="(0.44)",="(0.42)",="(0.50)"

="extdebtpercgni_var",="-0.00816",="-0.00831",="-0.00832",="-0.00813"
="",="(-0.93)",="(-0.97)",="(-0.97)",="(-0.95)"

="ggxwdg_ngdp_var",="-0.0120",="-0.0120",="-0.0120",="-0.0127*"
="",="(-1.49)",="(-1.48)",="(-1.49)",="(-1.66)"

="pcpipch",="0.0208",="0.0207",="0.0204",="0.0257"
="",="(0.44)",="(0.43)",="(0.41)",="(0.53)"

="defaultlastyear",="0.0713",="",="",=""
="",="(0.18)",="",="",=""

="defaultlast2years",="",="0.0795",="",=""
="",="",="(0.18)",="",=""

="defaultlast5years",="",="",="0.0549",=""
="",="",="",="(0.15)",=""

="defaultlast10years",="",="",="",="-0.245"
="",="",="",="",="(-0.53)"

="_cons",="-1.535***",="-1.536***",="-1.534***",="-1.498***"
="",="(-4.17)",="(-4.19)",="(-4.24)",="(-4.16)"

="lnsig2u",="",="",="",=""
="_cons",="0.103",="0.103",="0.103",="0.144"
="",="(0.31)",="(0.31)",="(0.30)",="(0.41)"

="N",="555",="555",="555",="555"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
