
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf"

="diff_dw_mf";="";="";="";=""
="ngdpdpc_var";="0.00266";="0.00339";="0.00287";="0.00345"
="";="(0.28)";="(0.35)";="(0.30)";="(0.35)"

="ngdp_rpch";="-0.0165";="-0.0220";="-0.0204";="-0.0100"
="";="(-0.61)";="(-0.78)";="(-0.74)";="(-0.39)"

="extdebtpercgni_var";="0.00180";="0.00193";="0.00164";="0.00278"
="";="(0.37)";="(0.40)";="(0.35)";="(0.56)"

="ggxwdg_ngdp_var";="-0.00940";="-0.00904";="-0.00892";="-0.0116"
="";="(-1.15)";="(-1.09)";="(-1.04)";="(-1.39)"

="pcpipch";="-0.0150***";="-0.0146***";="-0.0146***";="-0.0178***"
="";="(-2.99)";="(-2.83)";="(-2.95)";="(-3.96)"

="defaultlastyear";="-0.0482";="";="";=""
="";="(-0.16)";="";="";=""

="defaultlast2years";="";="0.146";="";=""
="";="";="(0.44)";="";=""

="defaultlast5years";="";="";="0.133";=""
="";="";="";="(0.39)";=""

="defaultlast10years";="";="";="";="-0.680"
="";="";="";="";="(-1.18)"

="_cons";="0.276";="0.168";="0.153";="0.857"
="";="(1.14)";="(0.60)";="(0.46)";="(1.51)"

="lnsig2u";="";="";="";=""
="_cons";="-0.827";="-0.889";="-0.840";="-0.906"
="";="(-1.16)";="(-1.21)";="(-1.18)";="(-1.34)"

="N";="296";="296";="296";="296"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
