
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf"

="diff_dw_mf",="",="",="",=""
="ngdpdpc_var",="0.00463",="0.00534",="0.00474",="0.00559"
="",="(0.48)",="(0.57)",="(0.50)",="(0.57)"

="ngdp_rpch",="-0.00816",="-0.0141",="-0.0128",="-0.00100"
="",="(-0.29)",="(-0.47)",="(-0.43)",="(-0.04)"

="extdebtpercgni_var",="0.00218",="0.00232",="0.00198",="0.00310"
="",="(0.45)",="(0.48)",="(0.41)",="(0.62)"

="ggxwdn_ngdp_var",="-0.00290",="-0.00271",="-0.00267",="-0.00404"
="",="(-0.62)",="(-0.58)",="(-0.56)",="(-0.85)"

="pcpipch",="-0.0147***",="-0.0144***",="-0.0144***",="-0.0171***"
="",="(-2.91)",="(-2.77)",="(-2.85)",="(-3.85)"

="defaultlastyear",="-0.0433",="",="",=""
="",="(-0.14)",="",="",=""

="defaultlast2years",="",="0.156",="",=""
="",="",="(0.47)",="",=""

="defaultlast5years",="",="",="0.156",=""
="",="",="",="(0.47)",=""

="defaultlast10years",="",="",="",="-0.632"
="",="",="",="",="(-1.12)"

="_cons",="0.222",="0.113",="0.0871",="0.755"
="",="(0.94)",="(0.42)",="(0.28)",="(1.40)"

="lnsig2u",="",="",="",=""
="_cons",="-0.765",="-0.823",="-0.774",="-0.851"
="",="(-1.08)",="(-1.12)",="(-1.09)",="(-1.25)"

="N",="296",="296",="296",="296"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
