
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf"

="diff_dw_mf";="";="";="";=""
="ngdpdpc_var";="-0.0106";="-0.0105";="-0.0106";="-0.0108"
="";="(-1.06)";="(-1.04)";="(-1.06)";="(-1.12)"

="ngdp_rpch";="0.0371";="0.0367";="0.0361";="0.0414"
="";="(0.92)";="(0.90)";="(0.88)";="(0.99)"

="extdebtpercgni_var";="-0.00855";="-0.00886";="-0.00889";="-0.00860"
="";="(-0.92)";="(-0.98)";="(-0.97)";="(-0.94)"

="ggsb_npgdp";="0.0275";="0.0269";="0.0266";="0.0280"
="";="(0.56)";="(0.54)";="(0.53)";="(0.57)"

="pcpipch";="0.00952";="0.00937";="0.00840";="0.0175"
="";="(0.16)";="(0.15)";="(0.13)";="(0.28)"

="defaultlastyear";="0.140";="";="";=""
="";="(0.37)";="";="";=""

="defaultlast2years";="";="0.135";="";=""
="";="";="(0.29)";="";=""

="defaultlast5years";="";="";="0.107";=""
="";="";="";="(0.27)";=""

="defaultlast10years";="";="";="";="-0.224"
="";="";="";="";="(-0.47)"

="_cons";="-1.488***";="-1.491***";="-1.489***";="-1.455***"
="";="(-3.51)";="(-3.50)";="(-3.53)";="(-3.45)"

="lnsig2u";="";="";="";=""
="_cons";="0.127";="0.128";="0.128";="0.154"
="";="(0.35)";="(0.35)";="(0.35)";="(0.42)"

="N";="532";="532";="532";="532"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
