
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf",="diff_dw_mf"

="diff_dw_mf",="",="",="",=""
="ngdpdpc_var",="0.0121",="0.0129",="0.0135",="0.0157"
="",="(1.19)",="(1.36)",="(1.44)",="(1.57)"

="ngdp_rpch",="-0.00548",="-0.00845",="-0.0125",="-0.00263"
="",="(-0.18)",="(-0.26)",="(-0.37)",="(-0.09)"

="extdebtpercgni_var",="0.00933*",="0.00953*",="0.00993*",="0.0119**"
="",="(1.85)",="(1.93)",="(1.92)",="(2.29)"

="ggsb_npgdp",="0.0234",="0.0195",="0.0138",="0.0163"
="",="(0.61)",="(0.50)",="(0.34)",="(0.40)"

="pcpipch",="-0.0174***",="-0.0167***",="-0.0164***",="-0.0192***"
="",="(-3.63)",="(-3.40)",="(-3.32)",="(-4.06)"

="defaultlastyear",="-0.437",="",="",=""
="",="(-1.33)",="",="",=""

="defaultlast2years",="",="-0.193",="",=""
="",="",="(-0.57)",="",=""

="defaultlast5years",="",="",="-0.0257",=""
="",="",="",="(-0.07)",=""

="defaultlast10years",="",="",="",="-0.717"
="",="",="",="",="(-1.20)"

="_cons",="0.558*",="0.424",="0.313",="0.897"
="",="(1.93)",="(1.44)",="(0.89)",="(1.58)"

="lnsig2u",="",="",="",=""
="_cons",="-0.476",="-0.536",="-0.557",="-0.593"
="",="(-0.66)",="(-0.70)",="(-0.71)",="(-0.79)"

="N",="244",="244",="244",="244"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
