
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf"

="diff_dw_sf",="",="",="",=""
="ngdpdpc_var",="-0.0170*",="-0.0170*",="-0.0172*",="-0.0160*"
="",="(-1.89)",="(-1.89)",="(-1.90)",="(-1.75)"

="ngdp_rpch",="0.0233",="0.0238",="0.0225",="0.0246"
="",="(0.51)",="(0.53)",="(0.49)",="(0.54)"

="extdebtpercgni_var",="0.000364",="0.000358",="0.000484",="0.000486"
="",="(0.10)",="(0.09)",="(0.13)",="(0.13)"

="budgetbal_ngdp_var",="0.00000898",="0.00000360",="0.00000467",="0.00000924"
="",="(0.57)",="(0.23)",="(0.29)",="(0.57)"

="pcpipch",="0.0622*",="0.0648*",="0.0664*",="0.0739*"
="",="(1.85)",="(1.86)",="(1.80)",="(1.86)"

="defaultlastyear",="0.617",="",="",=""
="",="(1.41)",="",="",=""

="defaultlast2years",="",="0.359",="",=""
="",="",="(0.84)",="",=""

="defaultlast5years",="",="",="0.265",=""
="",="",="",="(0.80)",=""

="defaultlast10years",="",="",="",="-0.541"
="",="",="",="",="(-1.53)"

="_cons",="-1.886***",="-1.865***",="-1.873***",="-1.714***"
="",="(-5.31)",="(-5.23)",="(-5.18)",="(-5.02)"

="lnsig2u",="",="",="",=""
="_cons",="0.387",="0.377",="0.397",="0.350"
="",="(1.16)",="(1.14)",="(1.19)",="(1.07)"

="N",="759",="759",="759",="759"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
