
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf"

="diff_dw_sf";="";="";="";=""
="ngdpdpc_var";="-0.00594";="-0.00571";="-0.00532";="-0.00486"
="";="(-0.82)";="(-0.79)";="(-0.77)";="(-0.70)"

="ngdp_rpch";="-0.0484**";="-0.0475**";="-0.0514**";="-0.0476**"
="";="(-2.25)";="(-2.16)";="(-2.36)";="(-2.10)"

="extdebtpercgni_var";="-0.00313";="-0.00334";="-0.00293";="-0.00272"
="";="(-1.22)";="(-1.31)";="(-1.20)";="(-1.12)"

="budgetbal_ngdp_var";="-0.0000560";="-0.0000478";="-0.0000525";="-0.0000549"
="";="(-0.80)";="(-0.69)";="(-0.80)";="(-0.84)"

="pcpipch";="-0.000452";="-0.000489";="-0.000482";="-0.000689"
="";="(-0.71)";="(-0.74)";="(-0.77)";="(-0.59)"

="defaultlastyear";="-0.356*";="";="";=""
="";="(-1.76)";="";="";=""

="defaultlast2years";="";="-0.391**";="";=""
="";="";="(-1.98)";="";=""

="defaultlast5years";="";="";="-0.215";=""
="";="";="";="(-0.93)";=""

="defaultlast10years";="";="";="";="-0.705**"
="";="";="";="";="(-2.27)"

="_cons";="0.107";="0.152";="0.0724";="0.510*"
="";="(0.55)";="(0.75)";="(0.32)";="(1.68)"

="lnsig2u";="";="";="";=""
="_cons";="-0.546";="-0.532";="-0.568";="-0.669*"
="";="(-1.50)";="(-1.47)";="(-1.56)";="(-1.75)"

="N";="435";="435";="435";="435"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
