
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf"

="diff_dw_sf",="",="",="",=""
="ngdpdpc_var",="-0.0143",="-0.0143",="-0.0146",="-0.0135"
="",="(-1.54)",="(-1.54)",="(-1.56)",="(-1.44)"

="ngdp_rpch",="0.0314",="0.0317",="0.0304",="0.0321"
="",="(0.70)",="(0.71)",="(0.68)",="(0.72)"

="extdebtpercgni_var",="0.000375",="0.000398",="0.000534",="0.000495"
="",="(0.10)",="(0.11)",="(0.14)",="(0.14)"

="ggxwdg_ngdp_var",="0.00486",="0.00484",="0.00487",="0.00452"
="",="(1.38)",="(1.38)",="(1.39)",="(1.27)"

="pcpipch",="0.0620*",="0.0644*",="0.0660*",="0.0735*"
="",="(1.85)",="(1.85)",="(1.79)",="(1.86)"

="defaultlastyear",="0.614",="",="",=""
="",="(1.42)",="",="",=""

="defaultlast2years",="",="0.373",="",=""
="",="",="(0.89)",="",=""

="defaultlast5years",="",="",="0.281",=""
="",="",="",="(0.86)",=""

="defaultlast10years",="",="",="",="-0.520"
="",="",="",="",="(-1.49)"

="_cons",="-1.934***",="-1.918***",="-1.927***",="-1.764***"
="",="(-5.44)",="(-5.35)",="(-5.30)",="(-5.12)"

="lnsig2u",="",="",="",=""
="_cons",="0.374",="0.369",="0.391",="0.340"
="",="(1.15)",="(1.14)",="(1.19)",="(1.05)"

="N",="759",="759",="759",="759"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
