
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf"

="diff_dw_sf",="",="",="",=""
="ngdpdpc_var",="-0.00699",="-0.00683",="-0.00659",="-0.00631"
="",="(-1.01)",="(-0.98)",="(-0.99)",="(-0.93)"

="ngdp_rpch",="-0.0503**",="-0.0493**",="-0.0535**",="-0.0499**"
="",="(-2.18)",="(-2.11)",="(-2.32)",="(-2.09)"

="extdebtpercgni_var",="-0.00307",="-0.00329",="-0.00287",="-0.00265"
="",="(-1.20)",="(-1.30)",="(-1.17)",="(-1.09)"

="ggxwdg_ngdp_var",="-0.00138",="-0.00151",="-0.00171",="-0.00200"
="",="(-0.30)",="(-0.33)",="(-0.36)",="(-0.43)"

="pcpipch",="-0.000470",="-0.000507",="-0.000501",="-0.000728"
="",="(-0.71)",="(-0.73)",="(-0.76)",="(-0.55)"

="defaultlastyear",="-0.350*",="",="",=""
="",="(-1.71)",="",="",=""

="defaultlast2years",="",="-0.392**",="",=""
="",="",="(-1.99)",="",=""

="defaultlast5years",="",="",="-0.217",=""
="",="",="",="(-0.94)",=""

="defaultlast10years",="",="",="",="-0.706**"
="",="",="",="",="(-2.28)"

="_cons",="0.123",="0.173",="0.0963",="0.537*"
="",="(0.62)",="(0.84)",="(0.41)",="(1.74)"

="lnsig2u",="",="",="",=""
="_cons",="-0.561",="-0.547",="-0.585",="-0.687*"
="",="(-1.53)",="(-1.50)",="(-1.60)",="(-1.78)"

="N",="435",="435",="435",="435"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
