
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf"

="diff_dw_sf";="";="";="";=""
="ngdpdpc_var";="-0.00717";="-0.00716";="-0.00696";="-0.00630"
="";="(-0.82)";="(-0.82)";="(-0.81)";="(-0.74)"

="ngdp_rpch";="-0.0435**";="-0.0433**";="-0.0407**";="-0.0334"
="";="(-2.08)";="(-2.08)";="(-2.08)";="(-1.63)"

="extdebtpercgni_var";="-0.00408";="-0.00419";="-0.00366";="-0.00260"
="";="(-0.84)";="(-0.86)";="(-0.77)";="(-0.58)"

="ggsb_npgdp";="-0.00304";="-0.00324";="-0.000441";="0.00192"
="";="(-0.12)";="(-0.12)";="(-0.02)";="(0.07)"

="pcpipch";="-0.000426";="-0.000434";="-0.000466";="-0.000654"
="";="(-0.78)";="(-0.81)";="(-0.82)";="(-0.72)"

="defaultlastyear";="-0.200";="";="";=""
="";="(-0.78)";="";="";=""

="defaultlast2years";="";="-0.137";="";=""
="";="";="(-0.59)";="";=""

="defaultlast5years";="";="";="-0.257";=""
="";="";="";="(-1.18)";=""

="defaultlast10years";="";="";="";="-0.818**"
="";="";="";="";="(-2.34)"

="_cons";="0.0404";="0.0152";="0.115";="0.585"
="";="(0.16)";="(0.06)";="(0.40)";="(1.60)"

="lnsig2u";="";="";="";=""
="_cons";="-0.640";="-0.638";="-0.694";="-0.949*"
="";="(-1.28)";="(-1.28)";="(-1.35)";="(-1.67)"

="N";="271";="271";="271";="271"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
