
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm"

="diff_dw_sm",="",="",="",=""
="ngdpdpc_var",="-0.0138*",="-0.0138*",="-0.0140*",="-0.0143**"
="",="(-1.90)",="(-1.92)",="(-1.92)",="(-1.96)"

="ngdp_rpch",="-0.00243",="-0.000955",="-0.00452",="-0.0108"
="",="(-0.12)",="(-0.04)",="(-0.22)",="(-0.53)"

="extdebtpercgni_var",="0.00183",="0.00178",="0.00174",="0.00139"
="",="(0.41)",="(0.40)",="(0.38)",="(0.31)"

="budgetbal_ngdp_var",="0.000231",="0.000241",="0.000232",="0.000237"
="",="(1.48)",="(1.54)",="(1.47)",="(1.49)"

="pcpipch",="-0.000752",="-0.000789",="-0.000737",="-0.000662"
="",="(-0.60)",="(-0.55)",="(-0.63)",="(-0.72)"

="defaultlastyear",="-0.111",="",="",=""
="",="(-0.62)",="",="",=""

="defaultlast2years",="",="-0.206",="",=""
="",="",="(-1.02)",="",=""

="defaultlast5years",="",="",="0.0526",=""
="",="",="",="(0.20)",=""

="defaultlast10years",="",="",="",="0.451"
="",="",="",="",="(1.14)"

="_cons",="-0.164",="-0.0951",="-0.258",="-0.588"
="",="(-0.84)",="(-0.47)",="(-0.95)",="(-1.53)"

="lnsig2u",="",="",="",=""
="_cons",="-0.380",="-0.378",="-0.385",="-0.383"
="",="(-1.02)",="(-1.00)",="(-1.03)",="(-1.04)"

="N",="370",="370",="370",="370"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
