
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm"

="diff_dw_sm",="",="",="",=""
="ngdpdpc_var",="-0.00629",="-0.00628",="-0.00626",="-0.00522"
="",="(-0.79)",="(-0.79)",="(-0.78)",="(-0.66)"

="ngdp_rpch",="0.0797**",="0.0795**",="0.0808**",="0.0768**"
="",="(2.43)",="(2.45)",="(2.52)",="(2.46)"

="extdebtpercgni_var",="0.00491",="0.00485",="0.00457",="0.00509"
="",="(1.22)",="(1.19)",="(1.06)",="(1.27)"

="ggxwdg_ngdp_var",="0.0126***",="0.0125***",="0.0120***",="0.0119***"
="",="(2.78)",="(2.78)",="(2.78)",="(2.83)"

="pcpipch",="-0.0453",="-0.0466",="-0.0486",="-0.0475"
="",="(-1.32)",="(-1.34)",="(-1.36)",="(-1.31)"

="defaultlastyear",="-0.922**",="",="",=""
="",="(-2.18)",="",="",=""

="defaultlast2years",="",="-0.794*",="",=""
="",="",="(-1.92)",="",=""

="defaultlast5years",="",="",="-0.779***",=""
="",="",="",="(-3.13)",=""

="defaultlast10years",="",="",="",="-0.497"
="",="",="",="",="(-1.37)"

="_cons",="-0.871***",="-0.868***",="-0.834***",="-0.816***"
="",="(-3.12)",="(-3.10)",="(-3.02)",="(-3.01)"

="lnsig2u",="",="",="",=""
="_cons",="0.545",="0.524",="0.522",="0.449"
="",="(1.45)",="(1.41)",="(1.44)",="(1.27)"

="N",="795",="795",="795",="795"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
