
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm"

="diff_dw_sm";="";="";="";=""
="ngdpdpc_var";="-0.00801";="-0.00808";="-0.00810";="-0.00819"
="";="(-1.05)";="(-1.06)";="(-1.04)";="(-1.05)"

="ngdp_rpch";="0.0110";="0.0118";="0.00936";="0.00373"
="";="(0.45)";="(0.47)";="(0.39)";="(0.16)"

="extdebtpercgni_var";="0.00216";="0.00211";="0.00204";="0.00165"
="";="(0.49)";="(0.48)";="(0.46)";="(0.37)"

="ggxwdg_ngdp_var";="0.0119*";="0.0116*";="0.0123*";="0.0131*"
="";="(1.70)";="(1.70)";="(1.73)";="(1.79)"

="pcpipch";="-0.000611";="-0.000630";="-0.000599";="-0.000549"
="";="(-0.70)";="(-0.68)";="(-0.71)";="(-0.75)"

="defaultlastyear";="-0.0928";="";="";=""
="";="(-0.50)";="";="";=""

="defaultlast2years";="";="-0.170";="";=""
="";="";="(-0.84)";="";=""

="defaultlast5years";="";="";="0.0725";=""
="";="";="";="(0.26)";=""

="defaultlast10years";="";="";="";="0.482"
="";="";="";="";="(1.13)"

="_cons";="-0.291";="-0.233";="-0.395";="-0.741*"
="";="(-1.32)";="(-1.06)";="(-1.30)";="(-1.68)"

="lnsig2u";="";="";="";=""
="_cons";="-0.340";="-0.343";="-0.336";="-0.321"
="";="(-0.90)";="(-0.89)";="(-0.90)";="(-0.86)"

="N";="370";="370";="370";="370"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
