
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm"

="diff_dw_sm";="";="";="";=""
="ngdpdpc_var";="-0.0100";="-0.00997";="-0.00984";="-0.00880"
="";="(-1.29)";="(-1.29)";="(-1.27)";="(-1.15)"

="ngdp_rpch";="0.0622*";="0.0620*";="0.0636*";="0.0598*"
="";="(1.87)";="(1.89)";="(1.95)";="(1.86)"

="extdebtpercgni_var";="0.00479";="0.00472";="0.00448";="0.00498"
="";="(1.13)";="(1.10)";="(0.99)";="(1.17)"

="ggxwdn_ngdp_var";="0.000282";="0.000233";="0.000180";="0.000138"
="";="(0.48)";="(0.38)";="(0.29)";="(0.52)"

="pcpipch";="-0.0504";="-0.0514";="-0.0532";="-0.0519"
="";="(-1.60)";="(-1.61)";="(-1.62)";="(-1.55)"

="defaultlastyear";="-0.925**";="";="";=""
="";="(-2.23)";="";="";=""

="defaultlast2years";="";="-0.792*";="";=""
="";="";="(-1.93)";="";=""

="defaultlast5years";="";="";="-0.766***";=""
="";="";="";="(-3.15)";=""

="defaultlast10years";="";="";="";="-0.510"
="";="";="";="";="(-1.37)"

="_cons";="-0.716***";="-0.714***";="-0.687**";="-0.666**"
="";="(-2.62)";="(-2.60)";="(-2.54)";="(-2.48)"

="lnsig2u";="";="";="";=""
="_cons";="0.524";="0.501";="0.501";="0.438"
="";="(1.40)";="(1.35)";="(1.39)";="(1.24)"

="N";="795";="795";="795";="795"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
