
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm"

="diff_dw_sm",="",="",="",=""
="ngdpdpc_var",="-0.0179**",="-0.0181**",="-0.0181**",="-0.0187**"
="",="(-2.25)",="(-2.24)",="(-2.25)",="(-2.34)"

="ngdp_rpch",="-0.0147",="-0.0172",="-0.0191",="-0.0221"
="",="(-0.65)",="(-0.77)",="(-0.87)",="(-1.01)"

="extdebtpercgni_var",="-0.00844",="-0.00855",="-0.00867",="-0.00920"
="",="(-1.51)",="(-1.51)",="(-1.50)",="(-1.64)"

="ggsb_npgdp",="-0.0220",="-0.0247",="-0.0268",="-0.0272"
="",="(-0.63)",="(-0.70)",="(-0.76)",="(-0.80)"

="pcpipch",="-0.000474",="-0.000471",="-0.000456",="-0.000446"
="",="(-0.72)",="(-0.74)",="(-0.72)",="(-0.73)"

="defaultlastyear",="-0.223",="",="",=""
="",="(-0.90)",="",="",=""

="defaultlast2years",="",="-0.0350",="",=""
="",="",="(-0.14)",="",=""

="defaultlast5years",="",="",="0.0602",=""
="",="",="",="(0.20)",=""

="defaultlast10years",="",="",="",="0.253"
="",="",="",="",="(0.60)"

="_cons",="-0.209",="-0.311",="-0.380",="-0.534"
="",="(-0.66)",="(-0.96)",="(-1.03)",="(-1.24)"

="lnsig2u",="",="",="",=""
="_cons",="-0.723",="-0.683",="-0.658",="-0.630"
="",="(-1.23)",="(-1.19)",="(-1.13)",="(-1.11)"

="N",="233",="233",="233",="233"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
