
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_mf",="diff_up_mf",="diff_up_mf",="diff_up_mf"

="diff_up_mf",="",="",="",=""
="ngdpdpc_var",="0.0161",="0.0160",="0.0159",="0.0162"
="",="(1.60)",="(1.59)",="(1.57)",="(1.61)"

="ngdp_rpch",="-0.0153",="-0.0154",="-0.0134",="-0.0145"
="",="(-0.51)",="(-0.51)",="(-0.45)",="(-0.48)"

="extdebtpercgni_var",="0.00667",="0.00664",="0.00666",="0.00678"
="",="(1.38)",="(1.34)",="(1.29)",="(1.41)"

="ggxwdg_ngdp_var",="0.00715",="0.00715",="0.00665",="0.00692"
="",="(1.34)",="(1.34)",="(1.26)",="(1.29)"

="pcpipch",="-0.103**",="-0.102**",="-0.104**",="-0.103**"
="",="(-2.10)",="(-2.07)",="(-2.03)",="(-2.04)"

="defaultlastyear",="-0.467",="",="",=""
="",="(-0.61)",="",="",=""

="defaultlast2years",="",="-0.682",="",=""
="",="",="(-1.06)",="",=""

="defaultlast5years",="",="",="-0.848*",=""
="",="",="",="(-1.73)",=""

="defaultlast10years",="",="",="",="-0.234"
="",="",="",="",="(-0.60)"

="_cons",="-0.675**",="-0.654**",="-0.611**",="-0.659**"
="",="(-2.27)",="(-2.21)",="(-2.02)",="(-2.20)"

="lnsig2u",="",="",="",=""
="_cons",="0.610*",="0.622*",="0.688**",="0.625*"
="",="(1.84)",="(1.86)",="(1.99)",="(1.87)"

="N",="665",="665",="665",="665"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
