
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_mf",="diff_up_mf",="diff_up_mf",="diff_up_mf"

="diff_up_mf",="",="",="",=""
="ngdpdpc_var",="-0.000632",="-0.0000993",="-0.00275",="-0.000716"
="",="(-0.07)",="(-0.01)",="(-0.30)",="(-0.08)"

="ngdp_rpch",="-0.0233",="-0.0269",="-0.0122",="-0.0192"
="",="(-0.75)",="(-0.82)",="(-0.39)",="(-0.64)"

="extdebtpercgni_var",="0.00545",="0.00549",="0.00522",="0.00567"
="",="(0.96)",="(0.95)",="(0.93)",="(0.98)"

="ggxwdn_ngdp_var",="-0.00180",="-0.00180",="-0.00164",="-0.00146"
="",="(-0.24)",="(-0.24)",="(-0.22)",="(-0.19)"

="pcpipch",="-0.00519",="-0.00512",="-0.00543",="-0.00536"
="",="(-0.60)",="(-0.59)",="(-0.63)",="(-0.60)"

="defaultlastyear",="-0.0316",="",="",=""
="",="(-0.10)",="",="",=""

="defaultlast2years",="",="0.101",="",=""
="",="",="(0.24)",="",=""

="defaultlast5years",="",="",="-0.461",=""
="",="",="",="(-1.20)",=""

="defaultlast10years",="",="",="",="-0.352"
="",="",="",="",="(-0.77)"

="_cons",="-0.144",="-0.210",="0.142",="0.130"
="",="(-0.52)",="(-0.66)",="(0.46)",="(0.29)"

="lnsig2u",="",="",="",=""
="_cons",="0.207",="0.271",="0.0621",="0.101"
="",="(0.42)",="(0.51)",="(0.13)",="(0.22)"

="N",="238",="238",="238",="238"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
