
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_mf",="diff_up_mf",="diff_up_mf",="diff_up_mf"

="diff_up_mf",="",="",="",=""
="ngdpdpc_var",="0.00470",="0.00509",="0.00170",="0.00655"
="",="(0.54)",="(0.60)",="(0.24)",="(0.86)"

="ngdp_rpch",="-0.0272",="-0.0295",="-0.0149",="-0.0346"
="",="(-0.87)",="(-0.88)",="(-0.45)",="(-1.11)"

="extdebtpercgni_var",="0.00836",="0.00818",="0.00875",="0.00875"
="",="(1.51)",="(1.42)",="(1.51)",="(1.51)"

="ggsb_npgdp",="-0.0726",="-0.0719",="-0.0624",="-0.0762"
="",="(-1.30)",="(-1.25)",="(-1.08)",="(-1.40)"

="pcpipch",="-0.00371",="-0.00374",="-0.00459",="-0.00301"
="",="(-0.38)",="(-0.38)",="(-0.46)",="(-0.30)"

="defaultlastyear",="-0.601**",="",="",=""
="",="(-2.01)",="",="",=""

="defaultlast2years",="",="-0.476",="",=""
="",="",="(-1.29)",="",=""

="defaultlast5years",="",="",="-0.962***",=""
="",="",="",="(-3.05)",=""

="defaultlast10years",="",="",="",="-0.398"
="",="",="",="",="(-0.78)"

="_cons",="-0.278",="-0.299",="0.0645",="-0.252"
="",="(-0.68)",="(-0.67)",="(0.15)",="(-0.42)"

="lnsig2u",="",="",="",=""
="_cons",="-0.156",="-0.0780",="-0.0547",="-0.103"
="",="(-0.24)",="(-0.12)",="(-0.08)",="(-0.14)"

="N",="170",="170",="170",="170"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
