
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sf",="diff_up_sf",="diff_up_sf",="diff_up_sf"

="diff_up_sf",="",="",="",=""
="ngdpdpc_var",="-0.00673",="-0.00629",="-0.00695",="-0.00732"
="",="(-0.79)",="(-0.76)",="(-0.85)",="(-0.86)"

="ngdp_rpch",="-0.0345",="-0.0366",="-0.0331",="-0.0300"
="",="(-1.30)",="(-1.40)",="(-1.24)",="(-1.10)"

="extdebtpercgni_var",="-0.00620",="-0.00663",="-0.00637",="-0.00636"
="",="(-0.97)",="(-1.02)",="(-0.98)",="(-0.99)"

="budgetbal_ngdp_var",="-0.0000493",="-0.0000529",="-0.0000584",="-0.0000594"
="",="(-1.09)",="(-1.22)",="(-0.97)",="(-0.97)"

="pcpipch",="-0.0365",="-0.0382",="-0.0353",="-0.0321"
="",="(-1.02)",="(-1.06)",="(-0.95)",="(-0.86)"

="defaultlastyear",="0.478",="",="",=""
="",="(0.95)",="",="",=""

="defaultlast2years",="",="0.476",="",=""
="",="",="(1.05)",="",=""

="defaultlast5years",="",="",="0.0760",=""
="",="",="",="(0.21)",=""

="defaultlast10years",="",="",="",="-0.0923"
="",="",="",="",="(-0.23)"

="_cons",="-1.276***",="-1.277***",="-1.239***",="-1.224***"
="",="(-5.03)",="(-5.09)",="(-5.04)",="(-4.92)"

="lnsig2u",="",="",="",=""
="_cons",="0.491*",="0.492",="0.471",="0.489"
="",="(1.65)",="(1.63)",="(1.51)",="(1.53)"

="N",="773",="773",="773",="773"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
