
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sf";="diff_up_sf";="diff_up_sf";="diff_up_sf"

="diff_up_sf";="";="";="";=""
="ngdpdpc_var";="-0.00749";="-0.00723";="-0.00785";="-0.00822"
="";="(-0.86)";="(-0.84)";="(-0.93)";="(-0.94)"

="ngdp_rpch";="-0.0412";="-0.0419";="-0.0392";="-0.0370"
="";="(-1.48)";="(-1.53)";="(-1.40)";="(-1.26)"

="extdebtpercgni_var";="-0.00530";="-0.00555";="-0.00530";="-0.00532"
="";="(-0.80)";="(-0.82)";="(-0.77)";="(-0.78)"

="ggxwdg_ngdp_var";="-0.00208";="-0.00180";="-0.00209";="-0.00235"
="";="(-0.35)";="(-0.30)";="(-0.35)";="(-0.42)"

="pcpipch";="-0.0375";="-0.0384";="-0.0357";="-0.0327"
="";="(-1.06)";="(-1.07)";="(-0.97)";="(-0.89)"

="defaultlastyear";="0.533";="";="";=""
="";="(1.05)";="";="";=""

="defaultlast2years";="";="0.403";="";=""
="";="";="(0.83)";="";=""

="defaultlast5years";="";="";="0.0506";=""
="";="";="";="(0.14)";=""

="defaultlast10years";="";="";="";="-0.100"
="";="";="";="";="(-0.26)"

="_cons";="-1.246***";="-1.232***";="-1.198***";="-1.181***"
="";="(-4.83)";="(-4.89)";="(-4.91)";="(-4.87)"

="lnsig2u";="";="";="";=""
="_cons";="0.472";="0.453";="0.442";="0.461"
="";="(1.62)";="(1.54)";="(1.46)";="(1.49)"

="N";="773";="773";="773";="773"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
