
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sf",="diff_up_sf",="diff_up_sf",="diff_up_sf"

="diff_up_sf",="",="",="",=""
="ngdpdpc_var",="0.00336",="0.00326",="0.00388",="0.00432"
="",="(0.35)",="(0.34)",="(0.41)",="(0.46)"

="ngdp_rpch",="-0.00418",="-0.00457",="-0.00513",="-0.00676"
="",="(-0.29)",="(-0.31)",="(-0.35)",="(-0.46)"

="extdebtpercgni_var",="0.000639",="0.000220",="0.000162",="0.000727"
="",="(0.14)",="(0.05)",="(0.04)",="(0.16)"

="ggxwdg_ngdp_var",="0.00124",="0.00113",="0.00116",="0.00118"
="",="(0.64)",="(0.61)",="(0.63)",="(0.62)"

="pcpipch",="-0.000707",="-0.000722",="-0.000722",="-0.000713"
="",="(-1.49)",="(-1.52)",="(-1.53)",="(-1.45)"

="defaultlastyear",="-0.331",="",="",=""
="",="(-1.06)",="",="",=""

="defaultlast2years",="",="-0.447",="",=""
="",="",="(-1.56)",="",=""

="defaultlast5years",="",="",="-0.444",=""
="",="",="",="(-1.28)",=""

="defaultlast10years",="",="",="",="-0.372"
="",="",="",="",="(-0.67)"

="_cons",="-0.618**",="-0.516*",="-0.472",="-0.467"
="",="(-2.13)",="(-1.80)",="(-1.36)",="(-0.85)"

="lnsig2u",="",="",="",=""
="_cons",="0.492",="0.477",="0.434",="0.371"
="",="(1.10)",="(1.08)",="(0.99)",="(0.79)"

="N",="376",="376",="376",="376"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
