
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sf",="diff_up_sf",="diff_up_sf",="diff_up_sf"

="diff_up_sf",="",="",="",=""
="ngdpdpc_var",="-0.00657",="-0.00636",="-0.00692",="-0.00724"
="",="(-0.77)",="(-0.76)",="(-0.84)",="(-0.84)"

="ngdp_rpch",="-0.0367",="-0.0381",="-0.0347",="-0.0318"
="",="(-1.38)",="(-1.46)",="(-1.31)",="(-1.17)"

="extdebtpercgni_var",="-0.00542",="-0.00569",="-0.00542",="-0.00543"
="",="(-0.83)",="(-0.86)",="(-0.81)",="(-0.82)"

="ggxwdn_ngdp_var",="0.0000181***",="0.0000181***",="0.0000181***",="0.0000184***"
="",="(4.40)",="(4.41)",="(4.34)",="(3.84)"

="pcpipch",="-0.0379",="-0.0388",="-0.0361",="-0.0330"
="",="(-1.06)",="(-1.08)",="(-0.97)",="(-0.89)"

="defaultlastyear",="0.534",="",="",=""
="",="(1.06)",="",="",=""

="defaultlast2years",="",="0.409",="",=""
="",="",="(0.85)",="",=""

="defaultlast5years",="",="",="0.0542",=""
="",="",="",="(0.15)",=""

="defaultlast10years",="",="",="",="-0.103"
="",="",="",="",="(-0.25)"

="_cons",="-1.267***",="-1.250***",="-1.219***",="-1.204***"
="",="(-4.98)",="(-5.03)",="(-5.01)",="(-4.88)"

="lnsig2u",="",="",="",=""
="_cons",="0.470",="0.452",="0.440",="0.460"
="",="(1.61)",="(1.55)",="(1.45)",="(1.48)"

="N",="773",="773",="773",="773"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
