
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sf",="diff_up_sf",="diff_up_sf",="diff_up_sf"

="diff_up_sf",="",="",="",=""
="ngdpdpc_var",="0.00623",="0.00596",="0.00647",="0.00726"
="",="(0.64)",="(0.62)",="(0.67)",="(0.77)"

="ngdp_rpch",="-0.0152",="-0.0148",="-0.0153",="-0.0175"
="",="(-1.15)",="(-1.10)",="(-1.13)",="(-1.29)"

="extdebtpercgni_var",="0.000624",="0.000216",="0.000175",="0.000685"
="",="(0.13)",="(0.05)",="(0.04)",="(0.14)"

="ggxwdn_ngdp_var",="0.00817*",="0.00780*",="0.00757*",="0.00844**"
="",="(1.94)",="(1.92)",="(1.95)",="(1.97)"

="pcpipch",="-0.000732",="-0.000746",="-0.000745",="-0.000738"
="",="(-1.47)",="(-1.50)",="(-1.50)",="(-1.42)"

="defaultlastyear",="-0.324",="",="",=""
="",="(-1.03)",="",="",=""

="defaultlast2years",="",="-0.434",="",=""
="",="",="(-1.49)",="",=""

="defaultlast5years",="",="",="-0.422",=""
="",="",="",="(-1.22)",=""

="defaultlast10years",="",="",="",="-0.387"
="",="",="",="",="(-0.69)"

="_cons",="-0.585*",="-0.489",="-0.452",="-0.418"
="",="(-1.96)",="(-1.64)",="(-1.27)",="(-0.75)"

="lnsig2u",="",="",="",=""
="_cons",="0.522",="0.501",="0.462",="0.397"
="",="(1.17)",="(1.14)",="(1.05)",="(0.85)"

="N",="376",="376",="376",="376"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
