
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sf",="diff_up_sf",="diff_up_sf",="diff_up_sf"

="diff_up_sf",="",="",="",=""
="ngdpdpc_var",="-0.00724",="-0.00785",="-0.00794",="-0.00574"
="",="(-0.58)",="(-0.63)",="(-0.66)",="(-0.48)"

="ngdp_rpch",="-0.0121",="-0.00839",="-0.00219",="-0.0188"
="",="(-0.31)",="(-0.22)",="(-0.05)",="(-0.48)"

="extdebtpercgni_var",="-0.00615",="-0.00738",="-0.00652",="-0.00618"
="",="(-0.83)",="(-1.04)",="(-0.91)",="(-0.84)"

="ggsb_npgdp",="0.00530",="0.0102",="0.0204",="0.000685"
="",="(0.16)",="(0.31)",="(0.59)",="(0.02)"

="pcpipch",="-0.00108",="-0.00116",="-0.00120",="-0.00108"
="",="(-0.93)",="(-0.76)",="(-0.74)",="(-0.90)"

="defaultlastyear",="-0.418",="",="",=""
="",="(-1.12)",="",="",=""

="defaultlast2years",="",="-0.617*",="",=""
="",="",="(-1.83)",="",=""

="defaultlast5years",="",="",="-0.722**",=""
="",="",="",="(-1.99)",=""

="defaultlast10years",="",="",="",="-0.456"
="",="",="",="",="(-0.83)"

="_cons",="-0.446",="-0.300",="-0.146",="-0.261"
="",="(-1.25)",="(-0.85)",="(-0.39)",="(-0.48)"

="lnsig2u",="",="",="",=""
="_cons",="-0.343",="-0.405",="-0.459",="-0.463"
="",="(-0.47)",="(-0.56)",="(-0.63)",="(-0.59)"

="N",="212",="212",="212",="212"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
