
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sm",="diff_up_sm",="diff_up_sm",="diff_up_sm"

="diff_up_sm",="",="",="",=""
="ngdpdpc_var",="-0.0106*",="-0.0102*",="-0.0106*",="-0.0107*"
="",="(-1.81)",="(-1.75)",="(-1.81)",="(-1.82)"

="ngdp_rpch",="0.000831",="-0.00209",="0.000398",="0.00240"
="",="(0.03)",="(-0.07)",="(0.01)",="(0.08)"

="extdebtpercgni_var",="-0.0146**",="-0.0148**",="-0.0147**",="-0.0146**"
="",="(-2.09)",="(-2.08)",="(-2.06)",="(-2.08)"

="budgetbal_ngdp_var",="0.000107",="0.000106",="0.000108",="0.000108"
="",="(1.41)",="(1.42)",="(1.43)",="(1.43)"

="pcpipch",="-0.00728",="-0.0104",="-0.00742",="-0.00598"
="",="(-0.26)",="(-0.35)",="(-0.25)",="(-0.21)"

="defaultlastyear",="0.0727",="",="",=""
="",="(0.18)",="",="",=""

="defaultlast2years",="",="0.326",="",=""
="",="",="(0.69)",="",=""

="defaultlast5years",="",="",="0.0469",=""
="",="",="",="(0.09)",=""

="defaultlast10years",="",="",="",="-0.0677"
="",="",="",="",="(-0.19)"

="_cons",="-0.962***",="-0.980***",="-0.960***",="-0.947***"
="",="(-3.85)",="(-3.92)",="(-3.81)",="(-3.77)"

="lnsig2u",="",="",="",=""
="_cons",="0.528",="0.518",="0.528",="0.539"
="",="(1.50)",="(1.49)",="(1.49)",="(1.49)"

="N",="746",="746",="746",="746"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
