
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sm";="diff_up_sm";="diff_up_sm";="diff_up_sm"

="diff_up_sm";="";="";="";=""
="ngdpdpc_var";="0.00348";="0.00358";="0.00378";="0.00425"
="";="(0.31)";="(0.32)";="(0.34)";="(0.39)"

="ngdp_rpch";="0.00626";="0.00562";="0.00370";="-0.00330"
="";="(0.19)";="(0.16)";="(0.11)";="(-0.09)"

="extdebtpercgni_var";="0.00443";="0.00447";="0.00437";="0.00433"
="";="(1.15)";="(1.16)";="(1.14)";="(1.15)"

="ggxwdg_ngdp_var";="-0.00656";="-0.00648";="-0.00613";="-0.00542"
="";="(-0.63)";="(-0.63)";="(-0.57)";="(-0.52)"

="pcpipch";="-0.0170";="-0.0170";="-0.0170";="-0.0161"
="";="(-1.52)";="(-1.52)";="(-1.52)";="(-1.43)"

="defaultlastyear";="0.000209";="";="";=""
="";="(0.00)";="";="";=""

="defaultlast2years";="";="0.0313";="";=""
="";="";="(0.12)";="";=""

="defaultlast5years";="";="";="0.108";=""
="";="";="";="(0.37)";=""

="defaultlast10years";="";="";="";="0.469"
="";="";="";="";="(1.16)"

="_cons";="-0.185";="-0.203";="-0.260";="-0.567"
="";="(-0.69)";="(-0.71)";="(-0.80)";="(-1.40)"

="lnsig2u";="";="";="";=""
="_cons";="-0.498";="-0.506";="-0.525";="-0.579"
="";="(-1.21)";="(-1.22)";="(-1.25)";="(-1.37)"

="N";="357";="357";="357";="357"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
