
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sm";="diff_up_sm";="diff_up_sm";="diff_up_sm"

="diff_up_sm";="";="";="";=""
="ngdpdpc_var";="0.000608";="0.000634";="0.000771";="0.00122"
="";="(0.06)";="(0.06)";="(0.07)";="(0.11)"

="ngdp_rpch";="0.00156";="0.00134";="-0.00000380";="-0.00715"
="";="(0.04)";="(0.04)";="(-0.00)";="(-0.20)"

="extdebtpercgni_var";="0.00443";="0.00443";="0.00440";="0.00435"
="";="(1.15)";="(1.15)";="(1.15)";="(1.15)"

="ggxwdn_ngdp_var";="-0.0190*";="-0.0190*";="-0.0188*";="-0.0184*"
="";="(-1.83)";="(-1.84)";="(-1.75)";="(-1.66)"

="pcpipch";="-0.0165";="-0.0166";="-0.0166";="-0.0158"
="";="(-1.55)";="(-1.55)";="(-1.55)";="(-1.45)"

="defaultlastyear";="-0.00766";="";="";=""
="";="(-0.03)";="";="";=""

="defaultlast2years";="";="0.00191";="";=""
="";="";="(0.01)";="";=""

="defaultlast5years";="";="";="0.0559";=""
="";="";="";="(0.18)";=""

="defaultlast10years";="";="";="";="0.405"
="";="";="";="";="(0.95)"

="_cons";="-0.160";="-0.164";="-0.202";="-0.491"
="";="(-0.63)";="(-0.61)";="(-0.65)";="(-1.19)"

="lnsig2u";="";="";="";=""
="_cons";="-0.474";="-0.477";="-0.491";="-0.547"
="";="(-1.12)";="(-1.12)";="(-1.13)";="(-1.26)"

="N";="357";="357";="357";="357"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
