
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sm",="diff_up_sm",="diff_up_sm",="diff_up_sm"

="diff_up_sm",="",="",="",=""
="ngdpdpc_var",="0.0103",="0.0111",="0.0119",="0.0118"
="",="(0.91)",="(0.98)",="(1.09)",="(1.10)"

="ngdp_rpch",="0.00204",="-0.00598",="-0.0169",="-0.0280"
="",="(0.06)",="(-0.17)",="(-0.48)",="(-0.80)"

="extdebtpercgni_var",="0.00246",="0.00237",="0.00248",="0.00196"
="",="(0.41)",="(0.40)",="(0.44)",="(0.36)"

="ggsb_npgdp",="0.0418",="0.0353",="0.0289",="0.0318"
="",="(1.06)",="(0.88)",="(0.75)",="(0.87)"

="pcpipch",="-0.0164",="-0.0164",="-0.0165",="-0.0156"
="",="(-1.42)",="(-1.42)",="(-1.41)",="(-1.31)"

="defaultlastyear",="-0.295",="",="",=""
="",="(-0.88)",="",="",=""

="defaultlast2years",="",="-0.0469",="",=""
="",="",="(-0.14)",="",=""

="defaultlast5years",="",="",="0.246",=""
="",="",="",="(0.74)",=""

="defaultlast10years",="",="",="",="0.671"
="",="",="",="",="(1.62)"

="_cons",="0.187",="0.0645",="-0.135",="-0.481"
="",="(0.62)",="(0.19)",="(-0.38)",="(-1.16)"

="lnsig2u",="",="",="",=""
="_cons",="-0.815*",="-0.978*",="-1.111**",="-1.267**"
="",="(-1.67)",="(-1.77)",="(-2.04)",="(-2.31)"

="N",="254",="254",="254",="254"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
