
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_mf";="diff_up_mf";="diff_up_mf";="diff_up_mf"

="diff_up_mf";="";="";="";=""
="ngdpdpc_var";="0.0157*";="0.0156";="0.0157";="0.0159*"
="";="(1.65)";="(1.63)";="(1.62)";="(1.66)"

="ngdp_rpch";="-0.0270";="-0.0271";="-0.0243";="-0.0259"
="";="(-0.94)";="(-0.95)";="(-0.85)";="(-0.91)"

="extdebtpercgni_var";="0.00681";="0.00677";="0.00680";="0.00692"
="";="(1.34)";="(1.31)";="(1.25)";="(1.38)"

="ggxwdn_ngdp_var";="0.00122";="0.00122";="0.00114";="0.00114"
="";="(1.36)";="(1.36)";="(1.30)";="(1.25)"

="pcpipch";="-0.105**";="-0.104**";="-0.105**";="-0.104**"
="";="(-2.16)";="(-2.13)";="(-2.09)";="(-2.10)"

="defaultlastyear";="-0.487";="";="";=""
="";="(-0.61)";="";="";=""

="defaultlast2years";="";="-0.693";="";=""
="";="";="(-1.05)";="";=""

="defaultlast5years";="";="";="-0.866*";=""
="";="";="";="(-1.73)";=""

="defaultlast10years";="";="";="";="-0.259"
="";="";="";="";="(-0.66)"

="_cons";="-0.603**";="-0.582*";="-0.543*";="-0.585*"
="";="(-2.00)";="(-1.94)";="(-1.77)";="(-1.93)"

="lnsig2u";="";="";="";=""
="_cons";="0.620*";="0.631*";="0.700**";="0.638*"
="";="(1.90)";="(1.92)";="(2.05)";="(1.94)"

="N";="665";="665";="665";="665"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
