
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sm";="diff_up_sm";="diff_up_sm";="diff_up_sm"

="diff_up_sm";="";="";="";=""
="ngdpdpc_var";="0.00570";="0.00573";="0.00581";="0.00595"
="";="(0.55)";="(0.55)";="(0.56)";="(0.58)"

="ngdp_rpch";="0.0125";="0.0121";="0.00915";="0.00130"
="";="(0.38)";="(0.36)";="(0.27)";="(0.04)"

="extdebtpercgni_var";="0.00428";="0.00433";="0.00421";="0.00418"
="";="(1.11)";="(1.11)";="(1.09)";="(1.10)"

="budgetbal_ngdp_var";="0.0000266";="0.0000263";="0.0000274";="0.0000276"
="";="(1.02)";="(1.00)";="(0.99)";="(1.00)"

="pcpipch";="-0.0168";="-0.0167";="-0.0168";="-0.0159"
="";="(-1.54)";="(-1.54)";="(-1.54)";="(-1.44)"

="defaultlastyear";="0.0220";="";="";=""
="";="(0.09)";="";="";=""

="defaultlast2years";="";="0.0366";="";=""
="";="";="(0.14)";="";=""

="defaultlast5years";="";="";="0.137";=""
="";="";="";="(0.50)";=""

="defaultlast10years";="";="";="";="0.499"
="";="";="";="";="(1.28)"

="_cons";="-0.237";="-0.248";="-0.317";="-0.623*"
="";="(-0.97)";="(-0.96)";="(-1.14)";="(-1.67)"

="lnsig2u";="";="";="";=""
="_cons";="-0.526";="-0.527";="-0.549";="-0.596"
="";="(-1.26)";="(-1.26)";="(-1.30)";="(-1.40)"

="N";="357";="357";="357";="357"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
