
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf"

="diff_dw_mf";="";="";="";=""
="ngdpdpc_var";="-0.00297";="-0.00298";="-0.00307";="-0.00308"
="";="(-0.39)";="(-0.39)";="(-0.41)";="(-0.43)"

="ngdp_rpch";="0.0115";="0.0115";="0.0126";="0.0182"
="";="(0.31)";="(0.31)";="(0.33)";="(0.47)"

="extdebtpercgni_var";="-0.00840";="-0.00850";="-0.00843";="-0.00822"
="";="(-1.20)";="(-1.27)";="(-1.24)";="(-1.21)"

="ggxwdn_ngdp_var";="0.0000129";="0.0000129";="0.0000128";="0.0000129"
="";="(1.64)";="(1.64)";="(1.59)";="(1.60)"

="pcpipch";="0.00468";="0.00497";="0.00599";="0.0113"
="";="(0.10)";="(0.10)";="(0.12)";="(0.24)"

="defaultlastyear";="0.0656";="";="";=""
="";="(0.17)";="";="";=""

="defaultlast2years";="";="0.0261";="";=""
="";="";="(0.06)";="";=""

="defaultlast5years";="";="";="-0.0437";=""
="";="";="";="(-0.12)";=""

="defaultlast10years";="";="";="";="-0.371"
="";="";="";="";="(-0.85)"

="cut1";="";="";="";=""
="_cons";="1.514***";="1.512***";="1.509***";="1.475***"
="";="(4.20)";="(4.22)";="(4.26)";="(4.15)"

="cut2";="";="";="";=""
="_cons";="2.438***";="2.436***";="2.433***";="2.408***"
="";="(5.93)";="(5.96)";="(6.04)";="(6.04)"

="cut3";="";="";="";=""
="_cons";="3.246***";="3.244***";="3.243***";="3.230***"
="";="(6.17)";="(6.22)";="(6.25)";="(6.26)"

="sigma2_u";="";="";="";=""
="_cons";="1.081***";="1.083***";="1.091***";="1.169***"
="";="(2.96)";="(2.96)";="(2.95)";="(2.73)"

="N";="555";="555";="555";="555"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
