
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf"

="diff_dw_mf";="";="";="";=""
="ngdpdpc_var";="-0.00481";="-0.00483";="-0.00499";="-0.00517"
="";="(-0.60)";="(-0.60)";="(-0.63)";="(-0.68)"

="ngdp_rpch";="0.00946";="0.00954";="0.0107";="0.0157"
="";="(0.24)";="(0.24)";="(0.26)";="(0.38)"

="extdebtpercgni_var";="-0.0101";="-0.0103";="-0.0102";="-0.00996"
="";="(-1.29)";="(-1.36)";="(-1.33)";="(-1.31)"

="ggsb_npgdp";="0.00915";="0.00877";="0.00899";="0.0107"
="";="(0.21)";="(0.20)";="(0.20)";="(0.24)"

="pcpipch";="-0.00714";="-0.00652";="-0.00471";="0.00365"
="";="(-0.12)";="(-0.11)";="(-0.08)";="(0.06)"

="defaultlastyear";="0.0997";="";="";=""
="";="(0.28)";="";="";=""

="defaultlast2years";="";="0.0509";="";=""
="";="";="(0.12)";="";=""

="defaultlast5years";="";="";="-0.0394";=""
="";="";="";="(-0.11)";=""

="defaultlast10years";="";="";="";="-0.374"
="";="";="";="";="(-0.83)"

="cut1";="";="";="";=""
="_cons";="1.393***";="1.392***";="1.387***";="1.346***"
="";="(3.46)";="(3.45)";="(3.47)";="(3.35)"

="cut2";="";="";="";=""
="_cons";="2.315***";="2.314***";="2.309***";="2.275***"
="";="(5.18)";="(5.18)";="(5.23)";="(5.17)"

="cut3";="";="";="";=""
="_cons";="3.128***";="3.127***";="3.123***";="3.102***"
="";="(5.63)";="(5.66)";="(5.69)";="(5.68)"

="sigma2_u";="";="";="";=""
="_cons";="1.102***";="1.104***";="1.111***";="1.174**"
="";="(2.73)";="(2.73)";="(2.73)";="(2.54)"

="N";="532";="532";="532";="532"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
