
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf",="diff_dw_sf"

="diff_dw_sf",="",="",="",=""
="ngdpdpc_var",="-0.0186**",="-0.0186**",="-0.0189**",="-0.0177**"
="",="(-2.19)",="(-2.19)",="(-2.21)",="(-2.06)"

="ngdp_rpch",="0.0189",="0.0195",="0.0180",="0.0202"
="",="(0.46)",="(0.48)",="(0.44)",="(0.50)"

="extdebtpercgni_var",="0.0000416",="0.0000370",="0.000182",="0.000108"
="",="(0.01)",="(0.01)",="(0.05)",="(0.03)"

="budgetbal_ngdp_var",="0.0000113",="0.00000514",="0.00000635",="0.0000107"
="",="(0.68)",="(0.31)",="(0.38)",="(0.64)"

="pcpipch",="0.0477",="0.0508",="0.0528",="0.0602"
="",="(1.33)",="(1.37)",="(1.34)",="(1.42)"

="defaultlastyear",="0.687",="",="",=""
="",="(1.51)",="",="",=""

="defaultlast2years",="",="0.423",="",=""
="",="",="(0.96)",="",=""

="defaultlast5years",="",="",="0.320",=""
="",="",="",="(0.95)",=""

="defaultlast10years",="",="",="",="-0.474"
="",="",="",="",="(-1.36)"

="cut1",="",="",="",=""
="_cons",="1.815***",="1.793***",="1.804***",="1.643***"
="",="(5.22)",="(5.13)",="(5.07)",="(4.91)"

="cut2",="",="",="",=""
="_cons",="3.420***",="3.393***",="3.404***",="3.239***"
="",="(9.01)",="(8.96)",="(8.90)",="(9.11)"

="sigma2_u",="",="",="",=""
="_cons",="1.460***",="1.434***",="1.467***",="1.372***"
="",="(2.85)",="(2.91)",="(2.89)",="(2.98)"

="N",="759",="759",="759",="759"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
